Kingdom,Class,Order,Family,Genus,Species,full_path
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,"ischnocheles, cytotype I","Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|ischnocheles, cytotype I"
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,"ischnocheles, cytotype II","Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|ischnocheles, cytotype II"
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,"raridentatus, cytotype I","Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|raridentatus, cytotype I"
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,"raridentatus, cytotype II","Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|raridentatus, cytotype II"
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,"rhodochelatus, cytotype I","Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|rhodochelatus, cytotype I"
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,"rhodochelatus, cytotype II","Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|rhodochelatus, cytotype II"
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,"tenuis, cytotype I","Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|tenuis, cytotype I"
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,"tenuis, cytotype II","Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|tenuis, cytotype II"
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,"tenuis, cytotype III","Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|tenuis, cytotype III"
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,"tenuis, cytotype IV","Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|tenuis, cytotype IV"
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,"tenuis, cytotype V","Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|tenuis, cytotype V"
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,"tetrachelatus, cytotype I","Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|tetrachelatus, cytotype I"
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,"tetrachelatus, cytotype II","Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|tetrachelatus, cytotype II"
Animalia,Copepoda,Cyclopoida,Cyclopidae,Eucyclops,serrulatus,Animalia|Copepoda|Cyclopoida|Cyclopidae|Eucyclops|serrulatus
Animalia,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,vernalis,Animalia|Copepoda|Cyclopoida|Cyclopidae|Acanthocyclops|vernalis
Animalia,Copepoda,Cyclopoida,Cyclopidae,Diacyclops,bicuspidatus,Animalia|Copepoda|Cyclopoida|Cyclopidae|Diacyclops|bicuspidatus
Animalia,Copepoda,Cyclopoida,Cyclopidae,Macrocyclops,albidus,Animalia|Copepoda|Cyclopoida|Cyclopidae|Macrocyclops|albidus
Animalia,Copepoda,Cyclopoida,Cyclopidae,Macrocyclops,ater,Animalia|Copepoda|Cyclopoida|Cyclopidae|Macrocyclops|ater
Animalia,Copepoda,Cyclopoida,Cyclopidae,Mesocyclops,edax,Animalia|Copepoda|Cyclopoida|Cyclopidae|Mesocyclops|edax
Animalia,Copepoda,Cyclopoida,Cyclopidae,Mesocyclops,leuckarti,Animalia|Copepoda|Cyclopoida|Cyclopidae|Mesocyclops|leuckarti
Animalia,Copepoda,Cyclopoida,Cyclopidae,Tropocyclops,prasinus,Animalia|Copepoda|Cyclopoida|Cyclopidae|Tropocyclops|prasinus
Animalia,Copepoda,Cyclopoida,Harpacticoida,Tigriopus,brevicornis,Animalia|Copepoda|Cyclopoida|Harpacticoida|Tigriopus|brevicornis
Animalia,Copepoda,Cyclopoida,Harpacticoida,Tigriopus,californicus,Animalia|Copepoda|Cyclopoida|Harpacticoida|Tigriopus|californicus
Animalia,Copepoda,Cyclopoida,Harpacticoida,Tigriopus,japonicus,Animalia|Copepoda|Cyclopoida|Harpacticoida|Tigriopus|japonicus
Animalia,Copepoda,Cyclopoida,Mytilicolidae,Mytilicola,intestinalis,Animalia|Copepoda|Cyclopoida|Mytilicolidae|Mytilicola|intestinalis
Animalia,Copepoda,Harpacticoida,Tisbidae,Tisbe,biminiensis,Animalia|Copepoda|Harpacticoida|Tisbidae|Tisbe|biminiensis
Animalia,Copepoda,Harpacticoida,Tisbidae,Tisbe,holothuriae,Animalia|Copepoda|Harpacticoida|Tisbidae|Tisbe|holothuriae
Animalia,Copepoda,Harpaticoida,Harpacticidae,Tigriopus,brevicornis,Animalia|Copepoda|Harpaticoida|Harpacticidae|Tigriopus|brevicornis
Animalia,Copepoda,Harpaticoida,Harpacticidae,Tigriopus,californicus,Animalia|Copepoda|Harpaticoida|Harpacticidae|Tigriopus|californicus
Animalia,Copepoda,Harpaticoida,Harpacticidae,Tigriopus,japonicus,Animalia|Copepoda|Harpaticoida|Harpacticidae|Tigriopus|japonicus
Animalia,Copepoda,Siphonostomatoida,Caligidae,Lepeoptheirus,salmonis salmonis,Animalia|Copepoda|Siphonostomatoida|Caligidae|Lepeoptheirus|salmonis salmonis
Animalia,Insecta,Coleoptera,Curculionidae,Byrsopages,sp(Mt.,Animalia|Insecta|Coleoptera|Curculionidae|Byrsopages|sp(Mt.
Animalia,Insecta,Diptera,Syrphidae,Allograpta,pulchra(hybrid?),Animalia|Insecta|Diptera|Syrphidae|Allograpta|pulchra(hybrid?)
Animalia,Insecta,Diptera,Syrphidae,Allograpta,pulchra(I),Animalia|Insecta|Diptera|Syrphidae|Allograpta|pulchra(I)
Animalia,Insecta,Diptera,Syrphidae,Baccha,clavata(I),Animalia|Insecta|Diptera|Syrphidae|Baccha|clavata(I)
Animalia,Insecta,Diptera,Syrphidae,Baccha,clavata(II),Animalia|Insecta|Diptera|Syrphidae|Baccha|clavata(II)
Animalia,Insecta,Diptera,Syrphidae,Rhysops,sp.(13),Animalia|Insecta|Diptera|Syrphidae|Rhysops|sp.(13)
Animalia,Insecta,Diptera,Syrphidae,Toxomerus,sp.(10),Animalia|Insecta|Diptera|Syrphidae|Toxomerus|sp.(10)
Animalia,Insecta,Diptera,Syrphidae,Toxomerus,sp.(11),Animalia|Insecta|Diptera|Syrphidae|Toxomerus|sp.(11)
Animalia,Insecta,Diptera,Syrphidae,Toxomerus,sp.(12),Animalia|Insecta|Diptera|Syrphidae|Toxomerus|sp.(12)
Animalia,Insecta,Diptera,Syrphidae,Toxomerus,sp.(15),Animalia|Insecta|Diptera|Syrphidae|Toxomerus|sp.(15)
Animalia,Insecta,Diptera,Syrphidae,Toxomerus,sp.(16),Animalia|Insecta|Diptera|Syrphidae|Toxomerus|sp.(16)
Animalia,Insecta,Diptera,Syrphidae,Toxomerus,sp.(19),Animalia|Insecta|Diptera|Syrphidae|Toxomerus|sp.(19)
Animalia,Insecta,Diptera,Syrphidae,Toxomerus,sp.(3),Animalia|Insecta|Diptera|Syrphidae|Toxomerus|sp.(3)
Animalia,Insecta,Diptera,Syrphidae,Toxomerus,sp.(4),Animalia|Insecta|Diptera|Syrphidae|Toxomerus|sp.(4)
Animalia,Insecta,Diptera,Syrphidae,Toxomerus,sp.(6),Animalia|Insecta|Diptera|Syrphidae|Toxomerus|sp.(6)
