Database,Phyla,Class,Order,Family,Species,Original Name,Meiosis Type,Ploidy,Female Diploid,Male Diploid,Achiasmy Sex,Sex Chromosome System,Notes,Sex Chrom Notes,Citation
Mammal,Chordata,Mammalia,Rodentia,Cricetidae,Blanfordimys afghanus,Microtus afghanus,asynaptic sex chromosomes,2,58,58,,XY,,,Animal Karyotype Book (Sablina et al. (Unpublished))
Mammal,Chordata,Mammalia,Rodentia,Cricetidae,Blanfordimys bucharicus,Microtus bucharicus,asynaptic sex chromosomes,2,48,48,,XY,,,Animal Karyotype Book (Sablina et al. (Unpublished))
Mammal,Chordata,Mammalia,Rodentia,Cricetidae,Microtus agrestis,,asynaptic sex chromosomes,2,50,50,,XY,,,Blackmon (Modi 1987)
Mammal,Chordata,Mammalia,Rodentia,Cricetidae,Microtus arvalis,,asynaptic sex chromosomes,2,46,46,,XY,,,Animal Karyotype Book 2020 (Lemskaya et al. 2010)
Mammal,Chordata,Mammalia,Rodentia,Cricetidae,Microtus brandti,,asynaptic sex chromosomes,2,34,34,,XY,,,Animal Karyotype Book 2020 (Gladkikh et al. 2016)
Mammal,Chordata,Mammalia,Rodentia,Cricetidae,Microtus gregalis,,asynaptic sex chromosomes,2,36,36,,XY,,,Animal Karyotype Book (Lemskaya et al. 2010)
Mammal,Chordata,Mammalia,Rodentia,Cricetidae,Microtus guentheri,,asynaptic sex chromosomes,2,54,54,,XY,,,Animal Karyotype Book 2020 (Lemskaya et al. 2010)
Mammal,Chordata,Mammalia,Rodentia,Cricetidae,Microtus guentheri arm,,asynaptic sex chromosomes,2,60,60,,XY,,,Animal Karyotype Book (Sablina et al. (Unpublished))
Mammal,Chordata,Mammalia,Rodentia,Cricetidae,Microtus guentheri philistinus,,asynaptic sex chromosomes,2,54,54,,XY,,,Animal Karyotype Book (Sablina et al. (Unpublished))
Mammal,Chordata,Mammalia,Rodentia,Cricetidae,Microtus juldaschi,,asynaptic sex chromosomes,2,54,54,,XY,,,Animal Karyotype Book 2020 (Sablina et al. (Unpublished))
Mammal,Chordata,Mammalia,Rodentia,Cricetidae,Microtus julddaschi carruthersi,,asynaptic sex chromosomes,2,54,54,,XY,,,Animal Karyotype Book (Sablina et al. (Unpublished))
Mammal,Chordata,Mammalia,Rodentia,Cricetidae,Microtus kirgisorum,,asynaptic sex chromosomes,2,54,54,,XY,,,Animal Karyotype Book (Sablina et al. (Unpublished))
Mammal,Chordata,Mammalia,Rodentia,Cricetidae,Microtus majori,,asynaptic sex chromosomes,2,54,54,,XY,,,Animal Karyotype Book (Sablina et al. (Unpublished))
Mammal,Chordata,Mammalia,Rodentia,Cricetidae,Microtus mexicanus,,asynaptic sex chromosomes,2,48,48,,XY,,,Animal Karyotype Book (Modi 1987)
Mammal,Chordata,Mammalia,Rodentia,Cricetidae,Microtus rossiaemeridonalis,,asynaptic sex chromosomes,2,54,54,,XY,,,Animal Karyotype Book (Sablina et al. (Unpublished))
Mammal,Chordata,Mammalia,Rodentia,Cricetidae,Microtus socialis,,asynaptic sex chromosomes,2,62,62,,XY,,,Animal Karyotype Book (Lemskaya e al. 2010)
Mammal,Chordata,Mammalia,Rodentia,Cricetidae,Microtus socialis schiddlovskii,,asynaptic sex chromosomes,2,60,60,,XY,,,Animal Karyotype Book (Sablina et al. (Unpublished))
Mammal,Chordata,Mammalia,Rodentia,Cricetidae,Microtus subterraneus,,asynaptic sex chromosomes,2,54,54,,XY,,,Animal Karyotype Book (Sablina et al. (Unpublished))
Mammal,Chordata,Mammalia,Rodentia,Cricetidae,Microtus subterraneus,,asynaptic sex chromosomes,2,52,52,,XY,,,Animal Karyotype Book 2020 (Sablina et al. (Unpublished))
