"Family","Subfamily","Tribe","Species","Haploid Number","Sex Chromosome System","Reference"
"Bombyliidae","Anthracinae","","Villa sp.Lateralisgroup",7,"XY","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","Anthracinae","","Villa sp.nr.Blanchardiana",6,"XY","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","Anthracinae","","Villa sp.nr.gorgon",9,"XY","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","","","Villa spB",6,"XY","Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
"Bombyliidae","","","Villa spC",7,"XY","Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
"Bombyliidae","Anthracinae","","Villa velutina",9,"XY","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","","","Villa velutinaI",9,"XY","Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
"Bombyliidae","","","Villa velutinaII",9,"XY","Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
"Calliphoridae","","","Albuquerquea latifrons",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Amenia chrysame",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Anthracomyza atratula",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Bengalia inermis",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Bengalia lyneborgi",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Blepharicnema splendens",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Boreellus atriceps",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Bufolucilia silvarum",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Calliphora accepta",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Calliphora bomitoria",6,"XY","Makino, S. (1951). An atlas of the chromosome numbers in Animals. Ames, Iowa, Iowa State College Press."
"Calliphoridae","","","Calliphora croceipalpisI",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Calliphora croceipalpisII",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","Calliphorinae","Calliphorini","Calliphora erythrocephala",6,"XY","Boyes and van Brink 1965. Chromosomes of Calyptrate Diptera; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Calliphoridae","","","Calliphora fallax",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Calliphora fulviceps",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Calliphora fulvicoxa",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Calliphora hilli",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Calliphora lilaea",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Calliphora peruviana",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Calliphora plebeia",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Calliphora sternalis",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Calliphora stygia",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Calliphora tibialis",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Calliphora varifrons",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Calliphora vicina",6,"XY","GM 2006. Cytogenetic studies of Calliphora vicina and Lucilia sericata (Diptera: Calliphoridae) from northwestern Egypt; Boyes and van Brink 1965. Chromosomes of Calyptrate Diptera; Boyes 1961. Somatic Chromosomes of Higher Diptera. V. interspecific and intraspecific variation in the Calliphoridae; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Calliphoridae","","","Calliphora vicinaI",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Calliphora vicinaII",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Calliphora viridenscens",6,"XY","Boyes, J. and J. M. Van Brink (1965). Chromosomes of Calyptrate Diptera. Canadian Journal of Genetics and Cytology 7(4): 537-550."
"Calliphoridae","Calliphorinae","Calliphorini","Calliphora viridescens",6,"XY","Boyes and van Brink 1965. Chromosomes of Calyptrate Diptera; Boyes 1961. Somatic Chromosomes of Higher Diptera. V. interspecific and intraspecific variation in the Calliphoridae; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Calliphoridae","Calliphorinae","Calliphorini","Calliphora vomitoria",6,"XY","Boyes 1961. Somatic Chromosomes of Higher Diptera. V. interspecific and intraspecific variation in the Calliphoridae; Boyes and van Brink 1965. Chromosomes of Calyptrate Diptera; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Calliphoridae","","","Calliphora vomitoriaI",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Calliphora vomitoriaII",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Calliphora vomitoriaIII",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
"Calliphoridae","","","Callitroga hominivorax",6,"XY","Boyes, J. (1961). Somatic Chromosomes of Higher Diptera: V. Interspecific and Intraspecific Variation in the Calliphoridae. Canadian Journal of Zoology 39(4): 549-570.; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Calliphoridae","","","Callitroga macellaria",6,"XY","Boyes, J. (1961). Somatic Chromosomes of Higher Diptera: V. Interspecific and Intraspecific Variation in the Calliphoridae. Canadian Journal of Zoology 39(4): 549-570."
"Calliphoridae","","","Callitroga mocellaria",6,"XY","Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Calliphoridae","","","Chrysomia albiceps",6,"XY","Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Calliphoridae","","","Chrysomia cholorpyga",6,"XY","Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Calliphoridae","","","Chrysomia putoria",6,"XY","Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Calliphoridae","","","Chrysomya albiceps",6,"not reported","Ullerich and Schottke 2006.  Karyotypes, constitutive heterochromatin, and gneomic DNA values in the blowfly genera Chrysomya, Lucilia, and Protophormia (Diptera: Calliphoridae)"
"Calliphoridae","","","Chrysomya bezziana",6,"XY","Bedo 1991. Cytological characterisation of heterochromatin in mitotic and meiotic chromosomes of the old world screwworm fly, Chrysomya bezziana (Diptera: Calliphoridae)"
"Calliphoridae","","","Chrysomya marginalis",6,"XY","Ullerich and Schottke 2006.  Karyotypes, constitutive heterochromatin, and gneomic DNA values in the blowfly genera Chrysomya, Lucilia, and Protophormia (Diptera: Calliphoridae)"
"Calliphoridae","","","Chrysomya megacephala",6,"XY","Ullerich and Schottke 2006.  Karyotypes, constitutive heterochromatin, and gneomic DNA values in the blowfly genera Chrysomya, Lucilia, and Protophormia (Diptera: Calliphoridae)"
"Calliphoridae","","","Chrysomya phaonis",6,"XY","Ullerich and Schottke 2006.  Karyotypes, constitutive heterochromatin, and gneomic DNA values in the blowfly genera Chrysomya, Lucilia, and Protophormia (Diptera: Calliphoridae)"
"Calliphoridae","","","Chrysomya pinguis",6,"XY","Ullerich and Schottke 2006.  Karyotypes, constitutive heterochromatin, and gneomic DNA values in the blowfly genera Chrysomya, Lucilia, and Protophormia (Diptera: Calliphoridae)"
"Calliphoridae","","","Chrysomya pinguis",6,"XY","Agrawal et al 2010. Metaphase karyotypes of four species of calliphoridae"
"Calliphoridae","","","Chrysomya putoria",6,"XY","Ullerich, F.-H. and M. Schottke (2006). Karyotypes, Constitutive Heterochromatin, and Genomic DNA Values in the Blowfly Genera Chrysomya, Lucilia, and Protophormia (Diptera: Calliphoridae). Genome 49(6): 584-597."
"Calliphoridae","","","Chrysomya rufifacies",6,"not reported","Ullerich and Schottke 2006.  Karyotypes, constitutive heterochromatin, and gneomic DNA values in the blowfly genera Chrysomya, Lucilia, and Protophormia (Diptera: Calliphoridae)"
"Calliphoridae","","","Chrysomya saffranea",6,"XY","Ullerich and Schottke 2006.  Karyotypes, constitutive heterochromatin, and gneomic DNA values in the blowfly genera Chrysomya, Lucilia, and Protophormia (Diptera: Calliphoridae)"
"Calliphoridae","","","Chrysomya varipes",6,"XY","Ullerich and Schottke 2006.  Karyotypes, constitutive heterochromatin, and gneomic DNA values in the blowfly genera Chrysomya, Lucilia, and Protophormia (Diptera: Calliphoridae)"
"Calliphoridae","","","Chrysomyia albiceps",6,"XY","Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
