"Family","Subfamily","Tribe","Species","Haploid Number","Sex Chromosome System","Reference"
"Agromyzidae","","","Amauromyza flavifrons",3,"XY","Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
"Agromyzidae","","","Amauromyza verbasci",3,"XY","Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
"Agromyzidae","","","Cerodontha angulata",3,"XY","Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
"Agromyzidae","","","Cerodontha eucaricis",6,"XY","Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
"Agromyzidae","","","Cerodontha ireos",6,"XY","Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
"Agromyzidae","","","Cerodontha pseuderrans",6,"XY","Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
"Agromyzidae","","","Cerodontha scirpi",6,"XY","Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
"Agromyzidae","","","Cerodontha spinata",6,"XY","Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
"Agromyzidae","","","Cerodontha vignae",6,"XY","Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
"Agromyzidae","","","Melanagromyza obtusa",6,"XY","Singh and Gupta 1982.  Contribution to the cytogenetics of an Indian pest. I. Karyotype and Salivary Chromosomes of Melanagromyza obtusa Malloch (Diptera:  Agromyzidae)"
"Agromyzidae","","","Phytomyza abdominalis",5,"not reported","Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
"Agromyzidae","","","Phytomyza crassiseta",6,"XY","Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
"Agromyzidae","","","Phytomyza crassiseta",9,"not reported","Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
"Agromyzidae","","","Phytomyza ilicis",6,"XY","Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
"Agromyzidae","","","Phytomyza primulae",6,"XY","Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
"Anisopodidae","","","Mycetobia pallipes",3,"XY","Wolf, E. (1941). Die Chromosomen in der Spermatogenese einiger Nematoceren. Zeitschrift fr Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma 2(1): 192-246."
"Anisopodidae","","","Phryne fenestralis",4,"XY","Wolf, E. (1941). Die Chromosomen in der Spermatogenese einiger Nematoceren. Zeitschrift fr Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma 2(1): 192-246."
"Anthomyiidae","","","Achaetella varipes",6,"XY","Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Anthomyiidae","","","Cordilura ciliata",6,"XY","Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Anthomyiidae","","","Cordilura ontario",6,"XY","Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Anthomyiidae","","","Fucellia marina",6,"XY","Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
"Anthomyiidae","","","Fucellia merina",6,"XY","Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Anthomyiidae","","","Homalomya sp",6,"XY","Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
"Anthomyiidae","","","Hydrophoria conica",6,"XY","Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Anthomyiidae","","","Hylemya antiqua",6,"XY","Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63.; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Anthomyiidae","","","Hylemya brassicae",6,"XY","Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63.; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Anthomyiidae","","","Hylemya cana",6,"XY","Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63.; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Anthomyiidae","","","Hylemya cilicrura",6,"XY","Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63.; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Anthomyiidae","","","Hylemya crucifera",6,"XY","Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63.; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Anthomyiidae","","","Hylemya echinata",6,"XY","Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Anthomyiidae","","","Hylemya floralis",6,"XY","Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63.; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Anthomyiidae","","","Hylemya florilegea",6,"XY","Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Anthomyiidae","","","Hylemya fugax",7,"Complex XY","Boyes, J. (1952). A Multiple Sex-Chromosome Mechanism in a Root Maggot, Hylemya Fugax. Journal of Heredity 43(5): 195-200.; Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63."
"Anthomyiidae","","","Hylemya planipalpus",6,"XY","Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63.; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Anthomyiidae","","","Hylemya trichodactula",6,"XY","Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Anthomyiidae","","","Hylemya trichodactyla",6,"XY","Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63."
"Anthomyiidae","","","Ophyra leucostoma",6,"XY","Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
"Anthomyiidae","","","Orthochaeta hirtipes",6,"XY","Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Anthomyiidae","","","Pegomya betae",6,"XY","Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Anthomyiidae","","","Pegomya bicolor",6,"XY","Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Anthomyiidae","","","Pegomyia geniculata",6,"XY","Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63.; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Anthomyiidae","","","Phorbia brassica",6,"XY","Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University.; Makino, S. (1951). An atlas of the chromosome numbers in Animals. Ames, Iowa, Iowa State College Press."
"Anthomyiidae","","","Scatophaga pallida",6,"XY","Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Anthomyiidae","","","Scatophaga stercoraria",6,"XY","Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
"Asilidae","","","Asilus lecythus",7,"XY","Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
"Asilidae","","","Asilus notatus",7,"XY","Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
"Asilidae","","","Asilus sericeus",5,"XY","Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
"Asilidae","","","Dasyllis grossa",5,"XO","Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
"Asilidae","","","Dasyllis thoracica",5,"XY","Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
"Asilidae","","","Deromyia winthemi",6,"XY","Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
"Asilidae","","","Erax rufibarbis",5,"XY","Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
"Asilidae","","","Leptogaster badius",5,"XY","Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279.; Makino, S. (1951). An atlas of the chromosome numbers in Animals. Ames, Iowa, Iowa State College Press."
"Bibionidae","","","Bibio bortulanus",5,"not reported","Makino, S. (1951). An atlas of the chromosome numbers in Animals. Ames, Iowa, Iowa State College Press."
"Bibionidae","","","Bibio hortulanus",5,"not reported","Wolf, E. (1941). Die Chromosomen in der Spermatogenese einiger Nematoceren. Zeitschrift fr Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma 2(1): 192-246."
"Bibionidae","","","Penthetria holosericea",5,"XY","Wolf, E. (1941). Die Chromosomen in der Spermatogenese einiger Nematoceren. Zeitschrift fr Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma 2(1): 192-246."
"Bombyliidae","Bombyliinae","","Acrophthalmyda paulseni",6,"not reported","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera); Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
"Bombyliidae","Anthracinae","","Anthrax anthrax",8,"not reported","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera); Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
"Bombyliidae","Anthracinae","","Anthrax cordillerensis",6,"XY","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","","","Anthrax lateralis",6,"not reported","Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
"Bombyliidae","Anthracinae","","Anthrax mystaceus",7,"not reported","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","","","Anthrax oedipus",9,"XY","Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
"Bombyliidae","","","Anthrax sinuosa",9,"XY","Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
"Bombyliidae","Anthracinae","","Anthrax tigrinus",6,"not reported","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","Anthracinae","","Anthrax yamashiroensis",5,"XY","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","Bombyliinae","","Bombylius fulvescens",6,"not reported","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","Bombyliinae","","Bombylius pygmaeus",6,"XY","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","Anthracinae","","Exoprosopa atrinasis",9,"XY","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","","","Exoprosopa sp.",7,"XY","Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
"Bombyliidae","Anthracinae","","Exoprosopa sp.Punctulatagroup",7,"not reported","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","Anthracinae","","Ligyra cerberus",9,"XY","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","Anthracinae","","Ligyra proserpina",9,"XY","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","Anthracinae","","Neodiplocampta roederi",9,"XY","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","","","Spogostylum simson",6,"not reported","Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
"Bombyliidae","Bombyliinae","","Systoechus vulgaris",7,"XY","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","Anthracinae","","Thyridanthrax abrupta",8,"not reported","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","Anthracinae","","Thyridanthrax niveifrons",9,"XY","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","Anthracinae","","Thyridanthrax sp",9,"XY","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","Bombyliinae","","Toxophora javana",4,"XY","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","Bombyliinae","","Usia florea",5,"XY","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","Anthracinae","","Villa cingulum",8,"not reported","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","Anthracinae","","Villa gayi",9,"XY","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","Anthracinae","","Villa gorgon",7,"XY","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","Anthracinae","","Villa lateralis",6,"XY","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","Anthracinae","","Villa morio",9,"XY","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","Anthracinae","","Villa scylla",5,"XY","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","Anthracinae","","Villa sinuosa",9,"XY","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","","","Villa sp",9,"XY","Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
"Bombyliidae","Anthracinae","","Villa sp.1",7,"XY","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","Anthracinae","","Villa sp.2",7,"not reported","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
"Bombyliidae","Anthracinae","","Villa sp.3",9,"not reported","Boyes 1973.  Cytotaxonomy of Bombyliidae (Diptera)"
