"Order","Suborder","Family","species","Meioformula","Citation"
"Coleoptera","Adephaga","Carabidae","Abacetus salzamanni     ","2n=41M 20+XO","Yadav, Lyapunova, Korablev, Baklushiskaya-Yani, and Vorontosov (1991)"
"Coleoptera","Adephaga","Carabidae","Abax ater     ","2n=35M ","Yadav, Lyapunova, Korablev, Baklushiskaya-Yani, and Vorontosov (1991)"
"Coleoptera","Adephaga","Carabidae","Abax ovalis     ","2n=35M ","Yadav, Lyapunova, Korablev, Baklushiskaya-Yani, and Vorontosov (1991)"
"Coleoptera","Adephaga","Carabidae","Abax parallelepipedus     ","2n=35M 17+XO","Yadav, Lyapunova, Korablev, Baklushiskaya-Yani, and Vorontosov (1991)"
"Coleoptera","Adephaga","Carabidae","Abax parallelus     ","2n=35M 17+XO","Yadav, Lyapunova, Korablev, Baklushiskaya-Yani, and Vorontosov (1991)"
"Coleoptera","Adephaga","Carabidae","Acinopus giganteus","2n=37M ","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Acinopus gutturosus","2n=37M 18+XO","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Acinopus picipes     ","2n=37M ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Acupalpus brunnipes","2n=45M ","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Acupalpus elegans ","2n=22M 10+XY","Rudek (1992)"
"Coleoptera","Adephaga","Carabidae","Acupalpus maculatus","2n=39M ","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Agonini sp. 1    ","2n=30M ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Agonini sp. 2    ","2n=36M ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Agonum bogemanni     ","2n=36M 17+NeoXY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Agonum corvus","2n=39M ","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Agonum cupripenne     ","2n=36M 17+NeoXY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Agonum dolens     ","2n=39M 19+XO","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Agonum ericeti     ","2n=34M 16+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Agonum errans     ","2n=37M 18+XO","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Agonum extensicolle","2n=37M 18+XO","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Agonum fuliginosum     ","2n=37M 18+XO","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Agonum gracile","2n=35-36M ","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Agonum livens     ","2n=43M 21+XO","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Agonum marginatum     ","2n=37M 18+XO","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Agonum micans","2n=35M ","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Agonum moestum     ","2n=34M 16+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Agonum moestum longipenne    ","2n=34M 16+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Agonum muelleri     ","2n=37M 18+XO","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Agonum munsteri     ","2n=36M 17+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Agonum nigrum     ","2n=34M 16+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Agonum retractum     ","2n=37M 18+XO","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Agonum sexpunctatum     ","2n=37M 18+XO","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Agonum sp. 1    ","2n=37M ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Agonum sp. 2    ","2n=37M 18+XO","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Agonum thoreyi     ","2n=35M 17+XO","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Agonum thoreyi melanocephalus    ","2n=35M 17+XO","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Agonum viridicupreum","2n=37M 18+XO","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Amara aenea     ","2n=35M 17+XO","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Amara apricaria     ","2n=33M 16+XO","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Amara arcuata","2n=37M ","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Amara aulica     ","2n=33M ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Amara batesi","2n=37M 18+XO","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Amara communis     ","2n=37M 18+XO","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Amara equestris","2n=30F ","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Amara familiaris     ","2n=34M 16+NeoXY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Amara familiaris     ","2n=33M 16+XO","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Amara fervida","2n=33M 16+XO","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Amara fulva","2n=35M/2n=36F 17+XO","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Amara giganteus     ","2n=41M 20+XO","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Amara impuncticollis     ","2n=34M ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Amara ingenua","2n=37M/2n=38F 18+XO","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Amara laevipennis     ","2n=32M 15+NeoXY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Amara metallescens","2n=21M ","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Amara moerens","2n=37M 18+XO","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Amara montivaga","2n=37M/2n=38F 18+XO","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Amara nila","2n=22M 10+XY","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Amara plebeja","2n=34M 16+XY","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Amara rotundicollis","2n=26F ","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Amara rufescens","2n=24F ","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Amara similata","2n=32M/2n=32F 15+XY","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Amara simplex","2n=20F ","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Amblycheila baroni     ","2n=44M 21+XY","Galian, Hogan, and Vogler (2002)"
"Coleoptera","Adephaga","Carabidae","Amblystomus bivittatus     ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Amblystomus quadriguttatus     ","2n=28F ","Galian and Moore (1994)"
"Coleoptera","Adephaga","Carabidae","Amblytelus curtus     ","2n=30M/2n=30F 14+XY","Galian and Moore (1994)"
"Coleoptera","Adephaga","Carabidae","Amphasia interstitialis     ","2n=35-37M ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Amphasia sericea     ","2n=29M 14+XO","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Anchomenidius astur     ","2n=43M ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Anchomenus dorsalis","2n=44M 21+XY","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Anisodactylus binotatus","2n=37M 18+XO","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Anisodactylus hispanus     ","2n=37M 18+XO","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Anisodactylus sigtus     ","2n=37M 18+XO","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Anisodactylus virens     ","2n=37M 18+XO","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Anomoglossus emargitus     ","2n=37M 18+XO","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Anthia sexguttata     ","2n=35M 17+XO","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Apenes margilis     ","2n=36M ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Aptinus displosor     ","2n=32M ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Arthropterus sp. 1    ","2n=46M/2n=46F ","Galian and Moore (1994)"
"Coleoptera","Adephaga","Carabidae","Asaphidion caraboides     ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Asaphidion curtum     ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Asaphidion cyanicorne     ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Asaphidion rossii","2n=24M ","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Baudia anomala     ","2n=45M 22+XO","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion 'graphicum-Nr 1'    ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion 'graphicum-Nr 2'    ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion aeneicolle     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion aenulum     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion alaskense     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion ambiguum     ","2n=24M/2n=24F ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion americanum     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion anchonoderum ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion andreae andreae    ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion andreae bualei    ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion antiquum ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion aratum     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion arcticum ","2n=26M 12+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion arenobilis ","2n=24M 11+XY","D. Maddison (2008)"
"Coleoptera","Adephaga","Carabidae","Bembidion arizoe     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion articulatum ","2n=24F ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion ascendens","2n=24M 11+XY","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Bembidion assimile     ","2n=24M ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion atrocoeruleum     ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion balli     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion basicorne ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion bellorum ","2n=24M 11+XY","D. Maddison (2008)"
"Coleoptera","Adephaga","Carabidae","Bembidion bifossulatum     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion biguttatum     ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion bimaculatum     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion bipunctatum ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion bowditchi     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion brachythorax ","2n=23M 11+XO","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion brevistriatum     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion californicum     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion callosum     ","2n=24M/2n=24F 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion carinula     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion carolinense ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion carpetanum ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion castor     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion castum     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion cf anguliferum ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion cf. immaturum    ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion chalceum ","2n=26M 12+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion coeruleum     ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion coloradense     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion complanulum ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion compressum ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion concolor     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion concretum ","2n=24M 11+XY","D. Maddison (1985)"
