"Order","Suborder","Family","species","Meioformula","Citation"
"Coleoptera","Adephaga","Carabidae","Bembidion confusum     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion connivens ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion consanguineum     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion constricticolle ","2n=22M ","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion contraetum-group contractum ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion contraetum-group viridicolle ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion convexulum ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion cordatum     ","2n=22M ","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion coxendix     ","2n=23M 11+XO","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion coxendix     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion cribum ","2n=25M ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion dahli ","2n=25M ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion dauricum     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion decorum     ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion diligens     ","2n=22M ","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion doris ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion dorsale     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion dudichi     ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion ephippium     ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion fasciolatum egregium    ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion flebile ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion fortestriatum ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion fortutum     ","2n=24M/2n=24F 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion foveum","2n=24M ","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Bembidion foveum     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion frontale ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion fumigatum     ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion gebleri turbatum ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion genei     ","2n=24M/2n=24F 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion geniculatum     ","2n=24M/2n=24F 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion gordoni ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion graciliforme     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion grapei     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion gratiosum ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion grisvardi     ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion guadarramense     ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion guttula     ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion haruspex ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion hasti","2n=24M 11+XY","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Bembidion hasti     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion hasurada","2n=24M 11+XY","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Bembidion hesperium     ","2n=22M 10+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion hispanicum     ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion honestum ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion humboldtense     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion hyperboraeorum ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion hypocrita     ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion ibericum     ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion iequale iequale    ","2n=22M 10+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion iequale opaciceps    ","2n=22M 10+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion impotens     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion incrematum     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion indistinctum     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion insulatum     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion integrum ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion intermedium     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion interventor     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion iricolor     ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion iridescens ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion iridescens ","2n=26M 12+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion kuprianovi-Nr 1 ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion kuprianovi-Nr 2 ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion kusteri paulinoi    ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion lacurium     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion lampros     ","2n=23M 11+XO","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion lapponicum     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion latiplaga     ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion laxatum ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion lee ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion levettei carrianum    ","2n=22M 10+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion levettei levettei    ","2n=22M 10+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion levigatum     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion littorale","2n=36M ","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Bembidion lorquini     ","2n=22M 10+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion louisella ","2n=24M 11+XY","D. Maddison (2008)"
"Coleoptera","Adephaga","Carabidae","Bembidion lunulatum     ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion maculatum ","2n=24M ","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion manningense ","2n=23M 11+XO","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion maorinum maorinum ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion mckinleyi carneum    ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion mckinleyi mckinleyi    ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion mexicanum     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion millerianum ","2n=26M/2n=26F 12+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion mimus     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion minimum     ","2n=24M/2n=24F 11+XY","Rudek (1992)"
"Coleoptera","Adephaga","Carabidae","Bembidion modestum","2n=24M 11+XY","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Bembidion morulum ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion mundum     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion mutatum ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion nebraskense     ","2n=22M 10+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion nevadense     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion nigripes     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion nigrocoeruleum ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion nigrum     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion nitidulus ovalipennis","2n=24M ","Serrano and Galian (1998)"
"Coleoptera","Adephaga","Carabidae","Bembidion nitidum     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion nudipenne ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion oberthueri-group oberthueri ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion obliquulum     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion obscurellum     ","2n=23M 11+XO","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion obtusangulum-group mormon ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion obtusangulum-group obtusangulum ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion obtusum     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion occultator ","2n=23M 11+XO","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion octomaculatum ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion operosum     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion patruele     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion petrosum     ","2n=23M 11+XO","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion planiusculum ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion planum ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion platum ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion platynoides     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion poculare     ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion praecinctum ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion praticola ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion properans     ","2n=24M 11+XY","Serrano and Yadav (1984)"
"Coleoptera","Adephaga","Carabidae","Bembidion pseudocautum ","2n=24M 11+XY","D. Maddison (1985)"
"Coleoptera","Adephaga","Carabidae","Bembidion punctatostriatum     ","2n=24M 11+XY","D. Maddison (1985)"
