"Order","Family","Genus","Binomial","Female2n","Sex.chromosome.system","Source"
"Afrosoricida","Chrysochloridae","Amblysomus","Amblysomus hottentotus",30,"XY","Bronner 1995a"
"Afrosoricida","Chrysochloridae","Amblysomus","Amblysomus hottentotus longiceps",30,"XY","Gilbert et al 2008"
"Afrosoricida","Chrysochloridae","Amblysomus","Amblysomus hottentotus meesteri",30,"XY","Gilbert et al 2008"
"Afrosoricida","Chrysochloridae","Amblysomus","Amblysomus hottentotus pondoliae",30,"XY","Gilbert et al 2008"
"Afrosoricida","Chrysochloridae","Amblysomus","Amblysomus iris",34,"XY","Capanna et al. 1989"
"Afrosoricida","Chrysochloridae","Amblysomus","Amblysomus robustus",36,"XY","Gilbert et al 2008"
"Afrosoricida","Chrysochloridae","Calcochloris","Calcochloris obtusirostris",28,"XY","Gilbert et al 2008"
"Afrosoricida","Chrysochloridae","Chlorotalpa","Chlorotalpa duthieae",30,"XY","Bronner 1995a"
"Afrosoricida","Chrysochloridae","Chlorotalpa","Chlorotalpa sclateri",30,"XY","Bronner 1995a"
"Afrosoricida","Chrysochloridae","Chrysochloris","Chrysochloris asiatica",30,"XY","Robinson et al. 2004"
"Afrosoricida","Chrysochloridae","Chrysospalax","Chrysospalax trevelyani",30,"XY","Gilbert et al. 2006"
"Afrosoricida","Chrysochloridae","Cryptochloris","Cryptochloris zyli",30,"XY","Gilbert et al. 2006"
"Afrosoricida","Chrysochloridae","Eremitalpa","Eremitalpa granti",26,"XY","Gilbert et al. 2006"
"Afrosoricida","Chrysochloridae","Neamblysomus","Neamblysomus julianae",30,"XY","Gilbert et al 2008"
"Afrosoricida","Tenrecidae","Echinops","Echinops telfairi",40,"XY","Benirschke 1969"
"Afrosoricida","Tenrecidae","Hemicentetes","Hemicentetes nigriceps",38,"XY","Benirschke 1969"
"Afrosoricida","Tenrecidae","Microgale","Microgale cowani",38,"XY","Gilbert et al. 2007"
"Afrosoricida","Tenrecidae","Microgale","Microgale dobsoni",30,"XY","Blackmon 2019"
"Afrosoricida","Tenrecidae","Microgale","Microgale fotsifotsy",32,"XY","Gilbert et al. 2007"
"Afrosoricida","Tenrecidae","Microgale","Microgale longicaudata",30,"XY","Gilbert et al. 2007"
"Afrosoricida","Tenrecidae","Microgale","Microgale majori",30,"XY","Gilbert et al. 2007"
"Afrosoricida","Tenrecidae","Microgale","Microgale parvula",32,"XY","Gilbert et al. 2007"
"Afrosoricida","Tenrecidae","Microgale","Microgale principula",30,"XY","Gilbert et al. 2007"
"Afrosoricida","Tenrecidae","Microgale","Microgale soricoides",32,"XY","Gilbert et al. 2007"
"Afrosoricida","Tenrecidae","Microgale","Microgale taiva",32,"XY","Gilbert et al. 2007"
"Afrosoricida","Tenrecidae","Microgale","Microgale thomasi",56,"XY","Gilbert et al. 2007"
"Afrosoricida","Tenrecidae","Oryzorictes","Oryzorictes hova",32,"XY","Gilbert et al. 2007"
"Afrosoricida","Tenrecidae","Tenrec","Tenrec eucadatus",38,"XY","Blackmon 2019"
"Artiodactyla","Antilocapridae","Antilocapra","Antilocapra americana",58,"XY","Kulemzina et al. 2009"
"Artiodactyla","Balaenidae","Balena","Balena mysticetus",42,"XY","Jarelle 1979"
"Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera acutorostrata",44,"XY","Arnason 1981a"
"Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera borealis",44,"XY","Nash (Unpublished)"
"Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus",44,"XY","Arnason and Widegren 1989"
"Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera physalus",42,"XY","Arnason 1974a"
"Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera physalus",44,"XY","Arnason 1974a"
"Artiodactyla","Balaenopteridae","Megaptera","Megaptera novaeangliae",44,"XY","Arnason 1974a"
"Artiodactyla","Bovidae","Addax","Addax nasomaculatus",58,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Aepyceros","Aepyceros melampus",60,"XY","Blackmon 2019"
"Artiodactyla","Bovidae","Aepyceros","Aepyceros melampus petersi",59,"XY","Rubes et al. 2012"
"Artiodactyla","Bovidae","Alcephalus","Alcephalus buselaphus jacksoni",40,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Alcephalus","Alcephalus busephalus",40,"XY","Blackmon 2019"
"Artiodactyla","Bovidae","Ammotragus","Ammotragus lervia",58,"XY","Blackmon 2019"
"Artiodactyla","Bovidae","Anoa","Anoa depressicornis depressicornis",48,"XY","Blackmon 2019"
"Artiodactyla","Bovidae","Antidorcas","Antidorcas marsupialis",56,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Antilope","Antilope cervicapra",32,"XY","Cerohorska et al. 2012"
"Artiodactyla","Bovidae","Bison","Bison bison",60,"XY","Blackmon 2019"
"Artiodactyla","Bovidae","Bison","Bison bonasus",60,"XY","Graphodatsky (Unpublished)"
"Artiodactyla","Bovidae","Bos","Bos frontalis (gaurus)",58,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Bos","Bos frontalis (gayal)",58,"XY","Chi et al. 2005a"
"Artiodactyla","Bovidae","Bos","Bos grunniens",60,"XY","Craphodatsky and Biltueva (Unpublished)"
"Artiodactyla","Bovidae","Bos","Bos indicus",60,"XY","Blackmon 2019"
"Artiodactyla","Bovidae","Bos","Bos javanicus",60,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Bos","Bos taurus",60,"XY","Hayes et al. 1995"
"Artiodactyla","Bovidae","Boselaphus","Boselaphus tragocamelus",46,"XY","Gallagher et al. 1998"
"Artiodactyla","Bovidae","Bubalus","Bubalus bubalis",50,"XY","Iannuzzi 1994"
"Artiodactyla","Bovidae","Bubalus","Bubalus depressicornis",48,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Budorcas","Budorcas taxicolor",52,"XY","Rubes et al. 2012"
"Artiodactyla","Bovidae","Capra","Capra cylindricornis",60,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Capra","Capra hircus",60,"XY","Biltueva and Graphodatsky (Unpublished)"
"Artiodactyla","Bovidae","Capra","Capra hircus aegagrus",60,"XY","Huang et al. 2005"
"Artiodactyla","Bovidae","Capra","Capra hircus hircus",60,"XY","Biltueva and Graphodatsky (Unpublished)"
"Artiodactyla","Bovidae","Capra","Capra ibex",60,"XY","Blackmon 2019"
"Artiodactyla","Bovidae","Capra","Capra pyrenaica hispanica",60,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Capricornis","Capricornis crispus",50,"XY","Biltueva et al. (Unpublished)"
"Artiodactyla","Bovidae","Capricornis","Capricornis sumatraensis",48,"XY","Huang et al. 2005"
"Artiodactyla","Bovidae","Cephalophus","Cephalophus dorsalis",60,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Cephalophus","Cephalophus monticola",60,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Cephalophus","Cephalophus niger",60,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Cephalophus","Cephalophus rufilatus",60,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Cephalophus","Cephalophus silvicultor",60,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Connochaetes","Connochaetes gnou",58,"XY","Rubes et al.2012"
"Artiodactyla","Bovidae","Connochaetes","Connochaetes taurinus",58,"XY","Blackmon 2019"
"Artiodactyla","Bovidae","Connochaetes","Connochaetes taurinus albojubatus",58,"XY","Rubes et al. 2012"
"Artiodactyla","Bovidae","Damaliscus","Damaliscus dorcas phillipsi",38,"XY","Blackmon 2019"
"Artiodactyla","Bovidae","Damaliscus","Damaliscus hunteri",44,"XY","Kumamoto et al. 1996"
"Artiodactyla","Bovidae","Damaliscus","Damaliscus lunatus topi",36,"XY","Kumamoto et al. 1996"
"Artiodactyla","Bovidae","Damaliscus","Damaliscus pygargus phillipsi",38,"XY","Kumamoto et al. 1996"
"Artiodactyla","Bovidae","Gazella","Gazella bennettii",50,"XY","Kumamoto et al. 1995"
"Artiodactyla","Bovidae","Gazella","Gazella cuvieri",32,"complex XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Gazella","Gazella dorcas",30,"complex XY","Blackmon 2019"
"Artiodactyla","Bovidae","Gazella","Gazella gazella",34,"complex XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Gazella","Gazella granti",30,"complex XY","Blackmon 2019"
"Artiodactyla","Bovidae","Gazella","Gazella leptoceros",32,"complex XY","Cernohorska et al. 2012"
"Artiodactyla","Bovidae","Gazella","Gazella rufifrons laevipes",58,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Gazella","Gazella saudiya",50,"XY","Kumamoto et al. 1995"
"Artiodactyla","Bovidae","Gazella","Gazella spekei",32,"complex XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Gazella","Gazella subgutturosa",30,"complex XY","Blackmon 2019"
"Artiodactyla","Bovidae","Gazella","Gazella subgutturosa marica",31,"complex XY","Kingswoo and Blank 1996"
"Artiodactyla","Bovidae","Gazella","Gazella subgutturosa subgutturosa",30,"complex XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Gazella","Gazella thomsonii",58,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Hemitragus","Hemitragus jemlahicus",48,"XY","Rubes et al. 2012"
"Artiodactyla","Bovidae","Hippotragus","Hippotragus equinus",60,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Hippotragus","Hippotragus niger",60,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Kobus","Kobus ellipsiprymnus defassa",53,"XY","Kingswood et al. 1998a"
"Artiodactyla","Bovidae","Kobus","Kobus ellipsiprymnus ellipsiprymnus",51,"XY","Kingswood et al. 1998a"
"Artiodactyla","Bovidae","Kobus","Kobus kob",50,"XY","Blackmon 2019"
"Artiodactyla","Bovidae","Kobus","Kobus kob thomasi",50,"XY","Kingswood et al. 2000"
"Artiodactyla","Bovidae","Kobus","Kobus leche",48,"XY","Kingswood et al. 2000"
"Artiodactyla","Bovidae","Kobus","Kobus megaceros",52,"XY","Kingswood et al. 2000"
"Artiodactyla","Bovidae","Madoqua","Madoqua guentheri",49,"XY","Kingswood and Kumamoto 1996"
"Artiodactyla","Bovidae","Madoqua","Madoqua kirkii",47,"XY","Kingswood and Kumamoto 1996"
"Artiodactyla","Bovidae","Naemorhedus","Naemorhedus baileyi cranbrooki",56,"XY","Huang et al. 2005"
"Artiodactyla","Bovidae","Naemorhedus","Naemorhedus goral",56,"XY","Biltueva and Graphodatsky (Unpublished)"
"Artiodactyla","Bovidae","Nanger","Nanger dama mhorr",39,"complex XY","Cernohorska et al. 2012"
"Artiodactyla","Bovidae","Nanger","Nanger dama ruficollis",39,"complex XY","Cernohorska et al. 2012"
"Artiodactyla","Bovidae","Nanger","Nanger granti roosevelti",30,"complex XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Nanger","Nanger soemmerringii",37,"complex XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Neotragus","Neotragus moschatus",54,"XY","Kingswood et al. 1998b"
"Artiodactyla","Bovidae","Oreamnos","Oreamnos americanus",42,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Oreotragus","Oreotragus oreotragus stevensoni",60,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Oryx","Oryx beisa beisa",58,"XY","Kumamoto et al. 1999"
"Artiodactyla","Bovidae","Oryx","Oryx beisa callotis",58,"XY","Kumamoto et al. 1999"
"Artiodactyla","Bovidae","Oryx","Oryx dammah",57,"XY","Kumamoto et al. 1999"
"Artiodactyla","Bovidae","Oryx","Oryx gazella",56,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Oryx","Oryx gazella beisa",58,"XY","Kumamoto et al. 1999"
"Artiodactyla","Bovidae","Oryx","Oryx gazella callotis",58,"XY","Kumamoto et al. 1999"
"Artiodactyla","Bovidae","Oryx","Oryx gazella gazella",56,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Oryx","Oryx leucoryx",57,"XY","Rubes et al. 2012"
"Artiodactyla","Bovidae","Ovibos","Ovibos moschatus",48,"XY","Biltueva and Graphodatsky (Unpublished)"
"Artiodactyla","Bovidae","Ovis","Ovis ammon",56,"XY","Huang et al. 2005"
"Artiodactyla","Bovidae","Ovis","Ovis ammon nigrimontana",56,"XY","Blackmon 2019"
"Artiodactyla","Bovidae","Ovis","Ovis aries",54,"XY","Cribiu et al. 2001"
"Artiodactyla","Bovidae","Ovis","Ovis aries aries",54,"XY","Iannuzzi et al. 1999"
"Artiodactyla","Bovidae","Ovis","Ovis aries musimon",54,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Ovis","Ovis aries orientalis",54,"XY","Proskuryakova and Beklemisheva (Unpublished)"
"Artiodactyla","Bovidae","Ovis","Ovis canadensis",54,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Ovis","Ovis nivcola",52,"XY","Huang et al. 2005"
"Artiodactyla","Bovidae","Ovis","Ovis orientalis",54,"XY","Blackmon 2019"
"Artiodactyla","Bovidae","Ovis","Ovis orientalis musimon",54,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Pelea","Pelea capreolus",56,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Pseudois","Pseudois nayaur szechuanensis",56,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Pseudois","Pseudois schaeferi",54,"XY","Veterinary Research Institute Brno (Unpublished)"
"Artiodactyla","Bovidae","Pseudoryx","Pseudoryx nghetinhensis",50,"XY","Kulemzina et al. 2014"
"Artiodactyla","Bovidae","Raphicerus","Raphicerus campestris",30,"XY","CRES San Diego (Unpublished)"
"Artiodactyla","Bovidae","Redunca","Redunca fulvorufula",57,"XY","Rubes et al. 2007"
"Artiodactyla","Bovidae","Rupricapra","Rupricapra rupicapra",58,"XY","Blackmon 2019"
"Artiodactyla","Bovidae","Syncerus","Syncerus caffer",52,"XY","Blackmon 2019"
"Artiodactyla","Bovidae","Syncerus","Syncerus caffer",55,"XY","Ropiquet et al. 2010"
"Artiodactyla","Bovidae","Taurotragus","Taurotragus derbianus",32,"complex XY","Rubes et al. 2008"
"Artiodactyla","Bovidae","Taurotragus","Taurotragus oryx pattersonianus",32,"complex XY","Rubes et al. 2008"
"Artiodactyla","Bovidae","Tetracerus","Tetracerus quadricornis",38,"XY","Popiquet et al. 2010"
"Artiodactyla","Bovidae","Tragelaphus","Tragelaphus angasii",56,"complex XY","Rubes et al. 2008"
"Artiodactyla","Bovidae","Tragelaphus","Tragelaphus eurycerus",34,"complex XY","Rubes et al. 2008"
"Artiodactyla","Bovidae","Tragelaphus","Tragelaphus imberbis",38,"XY","Rubes et al. 2008"
"Artiodactyla","Bovidae","Tragelaphus","Tragelaphus scriptus",34,"XY","Rubes et al. 2008"
"Artiodactyla","Bovidae","Tragelaphus","Tragelaphus spekii",30,"XY","Rubes et al. 2008"
"Artiodactyla","Bovidae","Tragelaphus","Tragelaphus strepsiceros",32,"XY","Rubes et al. 2008"
"Artiodactyla","Bovidae","Tragelaphus","Tragelaphus strepsiceros strepsiceros",32,"complex XY","Blackmon 2019"
