number,Clade,Checked Initials,Data?,Last page of scholar results that have been completed.,"Each name should be combined with the words: asynaptic, achiasmatic, ""distance pairing"". So three google scholar searches for each row."
553,Laevicaudata,KB,No,,
218,Lanariaceae,WS,No,,
219,Lardizabalaceae,WS,No,,
554,Laurida,KB,No,,
932,Leanchoiliida,KB,No,,
221,Lecythidaceae,WS,No,,
556,Leiocopida,KB,No,,
222,Lentibulariaceae,WS,No,,
557,Leperditicopida,KB,No,,
223,Lepidobotryaceae,WS,No,,
730,Leptocardii,SS,No,,
936,Leptostraca,KB,No,,
560,Lichida,KB,No,,
225,Limeaceae,WS,No,,
226,Limnanthaceae,WS,No,,
227,Linaceae,WS,No,,
228,Linderniaceae,WS,No,,
723,Lingulata,SS,No,,
561,Lipostraca,KB,No,,
939,Lithobiomorpha,KB,No,,
563,Lithoglyptida,KB,No,,
229,Loasaceae,WS,No,,
230,Loganiaceae,WS,No,,
231,Lophiocarpaceae,WS,No,,
564,Lophioneurida,KB,No,,
565,Lophogastrida,KB,No,,
232,Lophopyxidaceae,WS,No,,
233,Loranthaceae,KB,No,"Papers seem promising for ""achiasmatic"", but have to be purchased",
776,Loricifera,KB,No,,
234,Lowiaceae,WS,No,,
235,Lycopodiales,KH,No,,
236,Lycopsida,KH,No,,
237,Lythraceae,WS,No,,
238,Macarthuriaceae,AM,No,,
239,Magnoliaceae,WS,No,,
240,Malpighiaceae,KH,No,,
241,Malvaceae,KH,No,,
944,Mantophasmatodea,KB,No,,
242,Marantaceae,KH,No,,
243,Marcgraviaceae,KH,No,,
945,Marrellida,KB,No,,
946,Martinssoniida,KB,No,,
244,Martyniaceae,KH,No,,
245,Maundiaceae,KH,No,,
246,Mayacaceae,KH,No,,
247,Mazaceae,KH,No,,
571,Megaloptera,KB,No,,
949,Meganisoptera,KB,No,,
573,Megasecoptera,KB,No,,
248,Melanthiaceae,KH,No,,
249,Melastomataceae,KH,No,,
250,Meliaceae,KH,No,,
251,Menispermaceae,KH,No,,
252,Menyanthaceae,KH,No,,
574,Mesostigmata,KB,No,,
253,Metteniusaceae,KH,No,,
575,Microdecemplicida,KB,No,,
784,Micrognathozoa,SS,No,,
254,Microteaceae,KH,No,,
576,Mictacea,KB,No,,
577,Miomoptera,KB,No,,
255,Misodendraceae,KH,No,,
955,Misophrioida,SS,No,,
256,Mitrastemonaceae,KH,No,,
579,Mollisoniida,KB,No,,
257,Molluginaceae,KH,No,,
258,Monimiaceae,KH,No,,
797,Monogenea,SS,No,,
808,Monogononta,SS,No,,
781,Monoplacophora,SS,No,,
580,Monstrilloida,KB,No,,
259,Montiaceae,KH,No,,
260,Montiniaceae,KH,No,,
261,Moraceae,KH,No,,
262,Moringaceae,KH,No,,
581,Mormonilloida,KB,No,,
263,Muntingiaceae,AM,No,,
264,Musaceae,KH,No,,
265,Myodocarpaceae,AM,No,,
582,Myodocopida,KB,No,,
266,Myricaceae,AM,No,,
267,Myristicaceae,AM,No,,
268,Myrothamnaceae,AM,No,,
269,Myrtaceae,KH,No,,
583,Mysida,KB,No,,
714,Mystacocarida,SS,No,,
584,Mystacocaridida,KB,No,,
735,Myxini,KL,No,,
754,Myxozoa,KB,No,,
585,Nannomecoptera,KB,No,,
270,Nartheciaceae,AM,No,,
586,Nectaspidida,KB,No,,
587,Nectiopoda,KB,No,,
789,Nectonematoida,SS,No,,
271,Nelumbonaceae,AM,No,,
703,Nemertodermatida,SS,No,,
965,Neomecoptera,SS,No,,
272,Nepenthaceae,AM,No,,
273,Neuradaceae,AM,No,,
274,Nitrariaceae,AM,No,,
275,Nothofagaceae,AM,No,,
967,Notostraca,SS,No,,
276,Nyctaginaceae,AM,No,,
277,Nymphaeaceae,AM,No,,
278,Nyssaceae,AM,No,,
279,Ochnaceae,AM,No,,
749,Octocorallia,SS,No,,
591,Odonata,KB,No,,
280,Olacaceae,AM,No,,
281,Oleaceae,AM,No,,
592,Olenellina,KB,No,,
282,Onagraceae,KH,No,,
283,Oncothecaceae,KH,No,,
792,Onychophora,SS,No,,
593,Opabiniida,KB,No,,
764,Ophiuroidea,KB,No,,
284,Opiliaceae,KH,No,,
594,Opilioacariformes,KB,No,,
972,Opiliones,SS,No,,
285,Orchidaceae,KH,No,,
596,Oribatida,KB,No,,
793,Orthonectida,SS,No,,
738,Osteichthyes,KL,No,,
598,Ostracod,KB,No,,
287,Oxalidaceae,KH,No,,
701,Palaeacanthocephala,AM,No,,
599,Palaeocaridacea,KL,No,,
600,Palaeocopida,KL,No,,
601,Palaeodictyoptera,KL,No,,
602,Palaeosomatida,KL,No,,
603,Palaeostomatopoda,KL,No,,
604,Palpigradi,KL,No,,
289,Pandaceae,KL,No,,
290,Pandanaceae,KL,No,,
605,Pantopoda,KL,No,,
983,Paoliida,KL,No,,
291,Papaveraceae,KL,No,,
292,Paracryphiaceae,KL,No,,
607,Paradoxides,KP,No,,
985,Paramecoptera,KL,No,,
609,Paratrichoptera,KL,No,,
294,Paulowniaceae,KL,No,,
721,Pauropoda,SS,No,,
295,Pedaliaceae,KL,No,,
296,Penaeaceae,KL,No,,
297,Pennantiaceae,KL,No,,
298,Pentadiplandraceae,KL,No,,
299,Pentaphragmataceae,KL,No,,
300,Pentaphylacaceae,KL,No,,
712,Pentastomida,SS,No,,
301,Penthoraceae,KL,No,,
302,Peraceae,KL,No,,
303,Peridiscaceae,KL,No,,
610,Perielytrodea,KL,No,,
988,Permoplectoptera,KL,No,,
612,Permopsocida,KL,No,,
613,Permotrichoptera,KL,No,,
304,Petenaeaceae,KL,No,,
305,Petermanniaceae,KL,No,,
306,Petiveriaceae,KL,No,,
736,Petromyzontida,KL,No,,
307,Petrosaviaceae,KL,No,,
614,Phacopida,KL,No,,
992,Phalangiotarbida,KL,No,,
616,Phasmatodea,KB,No,,
308,Phellinaceae,KL,No,,
309,Philesiaceae,KL,No,,
310,Philydraceae,AM,No,,
617,Phosphatocopida,KB,No,,
311,Phrymaceae,AM,No,,
727,Phylactolaemata,SS,No,,
312,Phyllanthaceae,AM,No,,
313,Phyllonomaceae,AM,No,,
314,Physenaceae,AM,No,,
315,Phytolaccaceae,AM,No,,
316,Picramniaceae,AM,No,,
317,Picrodendraceae,AM,No,,
318,Pinaceae,KL,No,,
319,Piperaceae,KL,No,,
320,Pittosporaceae,KL,No,,
321,Plantaginaceae,KL,No,,
322,Platanaceae,KL,No,,
619,Platycopida,KB,No,,
620,Platycopioida,KB,No,,
997,Platydesmida,SS,No,,
998,Plecoptera,SS,No,,
623,Pleurojulida,KB,No,,
323,Plocospermataceae,KL,No,,
324,Plumbaginaceae,KL,No,,
325,Poaceae,KB,No,,
326,Podocarpaceae,KL,No,,
624,Podocopida,KB,No,,
327,Podostemaceae,KL,No,,
625,Pollicipedomorpha,KB,No,,
705,Polychaeta,SS,No,,
626,Polydesmida,KB,No,,
329,Polygalaceae,KL,No,,
330,Polygonaceae,KL,No,,
782,Polyplacophora,SS,No,,
794,Polyplacotomia,SS,No,,
757,Polypodiozoa,KB,No,,
1003,Polyxenida,SS,No,,
1004,Polyzoniida,SS,No,,
331,Pontederiaceae,AM,No,,
1005,Porocephalida,SS,No,,
332,Portulacaceae,AM,No,,
333,Posidoniaceae,AM,No,,
334,Potamogetonaceae,AM,No,,
805,Priapulimorpha,SS,No,,
335,Primulaceae,AM,No,,
1006,Proetida,SS,No,,
1007,Protanisoptera,SS,No,,
336,Proteaceae,AM,No,,
1008,Protelytroptera,SS,No,,
1009,Protephemeroptera,SS,No,,
1010,Protocaridida,SS,No,,
1011,Protodiptera,SS,No,,
1012,Protomecoptera,SS,No,,
1013,Protorthoptera,SS,No,,
1014,Protozygoptera,SS,No,,
1015,Protura,KL,No,,
337,Psilopsida,KH,No,,
641,Psocodea,KL,No,,
773,Pterobranchia,KB,No,,
338,Pteropsida,KB,No,,
1018,Ptychopariida,KL,No,,
339,Putranjivaceae,AM,No,,
643,Pycnogonida,KB,No,,
1019,Pycnogonida,KL,No,,
1020,Pygocephalomorpha,KL,No,,
340,Quillajaceae,AM,No,,
645,Radiodonta,AM,No,,
341,Rafflesiaceae,AM,No,,
646,Raillietiellida,AM,No,,
342,Ranunculaceae,KH,No,,
343,Rapateaceae,KH,No,,
648,Reculida,AM,No,,
649,Redlichiida,AM,No,,
650,Reighardiida,AM,No,,
717,Remipedia,SS,No,,
344,Resedaceae,KH,No,,
345,Restionaceae,KH,No,,
651,Retifaciida,AM,No,,
1027,Retifaciida[edit],WS,No,,
346,Rhabdodendraceae,KH,No,,
347,Rhamnaceae,KH,No,,
348,Rhizophoraceae,KH,No,,
725,Rhynchonellata,SS,No,,
652,Ricinulei,KL,No,,
349,Ripogonaceae,KH,No,,
350,Roridulaceae,KH,No,,
352,Rousseaceae,KH,No,,
353,Rubiaceae,KH,No,,
354,Ruppiaceae,KH,No,,
355,Rutaceae,KH,No,,
356,Sabiaceae,KH,No,,
729,Sagittoidea,SS,No,,
357,Salicaceae,SS,No,,
358,Salvadoraceae,SS,No,,
359,Santalaceae,SS,No,,
360,Sapindaceae,SS,No,,
361,Sapotaceae,SS,No,,
362,Sarcobataceae,SS,No,,
363,Sarcolaenaceae,SS,No,,
740,Sarcopterygii,KL,No,,
364,Sarraceniaceae,SS,No,,
365,Saururaceae,SS,No,,
366,Saxifragaceae,SS,No,,
1029,Scalpellomorpha,WS,No,,
783,Scaphopoda,SS,No,,
367,Scheuchzeriaceae,KL,No,,
368,Schisandraceae,KL,No,,
1030,Schizomida,WS,No,,
369,Schlegeliaceae,KL,No,,
370,Schoepfiaceae,KL,No,,
371,Sciadopityaceae,KL,No,,
1031,Scolopendrellida,WS,No,,
372,Scrophulariaceae,KL,No,,
658,Scutigerellida,AM,No,,
755,Scyphozoa,KB,No,,
787,Secernentea,SS,No,,
809,Seisonidea,SS,No,,
373,Selaginellales,KB,No,,
374,Setchellanthaceae,KH,No,,
806,Seticoronaria,SS,No,,
660,Sheimiodea,AM,No,,
661,Sidneyiformes,AM,No,,
375,Simaroubaceae,KH,No,,
376,Simmondsiaceae,KH,No,,
1038,Sinoburiida,KL,No,,
377,Siparunaceae,KH,No,,
663,Siphonaptera,KB,No,,
1040,Siphoniulida,SS,No,,
1041,Siphonocryptida,SS,No,,
1042,Siphonophorida,SS,No,,
667,Siphonostomatoida,SS,No,,
706,Sipuncula,SS,No,,
378,Sladeniaceae,KH,No,,
379,Smilacaceae,KH,No,,
668,Solifugae,SS,No,,
669,Spelaeogriphacea,SS,No,,
381,Sphaerosepalaceae,KL,No,,
670,Sphaerotheriida,SS,No,,
382,Sphenocleaceae,KL,No,,
383,Sphenopsida,KL,No,,
671,Spinicaudata,SS,No,,
1048,Spirobolida,SS,No,,
673,Spirostreptida,SS,No,,
384,Stachyuraceae,KL,No,,
385,Staphyleaceae,KL,No,,
756,Staurozoa,KB,No,,
386,Stegnospermataceae,KL,No,,
674,Stemmiulida,SS,No,,
387,Stemonaceae,KL,No,,
388,Stemonuraceae,KL,No,,
728,Stenolaemata,SS,No,,
389,Stilbaceae,KL,No,,
675,Stomatopoda,SS,No,,
1052,Strabopida,SS,No,,
390,Strasburgeriaceae,KL,No,,
391,Strelitziaceae,KL,No,,
677,Strepsiptera,SS,No,,
678,Stygiomysida,SS,No,,
392,Stylidiaceae,KL,No,,
393,Styracaceae,KL,No,,
394,Surianaceae,KL,No,,
722,Symphyla,SS,No,,
395,Symplocaceae,KL,No,,
679,Syntonopterodea,SS,No,,
396,Talinaceae,KL,No,,
397,Tamaricaceae,KL,No,,
680,Tanaidacea,SS,No,,
398,Tapisciaceae,KL,No,,
681,Tarachoptera,SS,No,,
399,Taxaceae,KL,No,,
400,Tecophilaeaceae,KL,No,,
401,Tetracarpaeaceae,KL,No,,
402,Tetrachondraceae,KL,No,,
403,Tetramelaceae,KL,No,,
404,Tetrameristaceae,KL,No,,
682,Tetramerocerata,SS,No,,
743,Tetrapoda,SS,No,,
734,Thaliacea,KL,No,,
405,Theaceae,KL,No,,
716,Thecostraca,SS,No,,
683,Thermosbaenacea,SS,No,,
406,Thomandersiaceae,SS,No,,
407,Thurniaceae,SS,No,,
408,Thymelaeaceae,KL,No,,
684,Thysanoptera,SS,No,,
409,Ticodendraceae,KL,No,,
685,Titanoptera,SS,No,,
410,Tofieldiaceae,KL,No,,
411,Torricelliaceae,KL,No,,
412,Tovariaceae,KL,No,,
798,Trematoda,SS,No,,
686,Triadophlebioptera,SS,No,,
413,Trigoniaceae,KL,No,,
1064,Trigonotarbida,WS,No,,
414,Trimeniaceae,KL,No,,
415,Triuridaceae,KL,No,,
416,Trochodendraceae,KL,No,,
417,Tropaeolaceae,KL,No,,
731,Tunicata,KL,No,,
418,Typhaceae,KL,No,,
419,Ulmaceae,KL,No,,
795,Uniplacotomia,SS,No,,
690,Uraraneida,AM,No,,
691,Uropygi,KB,No,,
420,Urticaceae,KL,No,,
421,Vahliaceae,KL,No,,
422,Velloziaceae,KL,No,,
423,Verbenaceae,KL,No,,
692,Verrucomorpha,KB,No,,
424,Viburnaceae,KL,No,,
425,Violaceae,KL,No,,
426,Vitaceae,KL,No,,
427,Vochysiaceae,KL,No,,
428,Welwitschiaceae,KL,No,,
429,Winteraceae,KL,No,,
693,Xandarellida,KB,No,,
812,Xenoturbellida,SS,No,,
430,Xeronemataceae,KL,No,,
708,Xiphosura,SS,No,,
694,Xiphosurida,KB,No,,
431,Xyridaceae,KL,No,,
1071,Yohoiida,SS,No,,
432,Zamiaceae,KL,No,,
696,Zoraptera,KB,No,,
434,Zosteraceae,KL,No,,
1073,Zosterogrammida,KL,No,,
698,Zygentoma,KB,No,,
435,Zygophyllaceae,KL,No,,
29,Araceae,KH,Papers in problem file,,
449,Araneae,KB,Papers in problem file,,
747,Aves,KB,Papers in problem file,,
44,Balsaminaceae,MC,Papers in problem file,,
498,Cyclopoida,KB,Papers in problem file,,
123,Cyperaceae,SS,Papers in problem file,,
154,Euphorbiaceae,SS,Papers in problem file,,
158,Fabaceae,SS,Papers in problem file,,
196,Hydrocharitaceae,SS,Papers in problem file,,
203,Iridaceae,SS,Papers in problem file,,
208,Joinvilleaceae,WS,Papers in problem file,,
217,Lamiaceae,WS,Papers in problem file,,
220,Lauraceae,WS,Papers in problem file,,
224,Liliaceae,SS,Papers in problem file,,
974,Orthoptera,SS,Papers in problem file,Need to ask for help or hand off to someone else - I struggle with understanding achiasmy/asynapsis/distance-pairing in XO sex chromosome systems,
288,Paeoniaceae,KL,Papers in problem file,,
293,Passifloraceae,KL,Papers in problem file,,
328,Polemoniaceae,KL,Papers in problem file,,
647,Raphidioptera,KB,Papers in problem file,,
1035,Scutigeromorpha,KL,Papers in problem file,,
1065,Trombidiformes,WS,Papers in problem file,,
746,Mammalia,KB,Yes,WILL HAVE RESULTS ,
748,Reptilia,KB,Yes,,
744,Amphibia,KB,Yes,,
351,Rosaceae,KB,Yes,,
739,Actinopterygii,KL,Yes,,
