f_kingdom,f_class,f_order,f_family,f_genus,display_name,full_path
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,sp.2,Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|sp.2
Animalia,Maxillopoda,Cyclopoida,Harpacticoida,Tigriopus,brevicornis,Animalia|Maxillopoda|Cyclopoida|Harpacticoida|Tigriopus|brevicornis
Animalia,Maxillopoda,Cyclopoida,Harpacticoida,Tigriopus,californicus,Animalia|Maxillopoda|Cyclopoida|Harpacticoida|Tigriopus|californicus
Animalia,Maxillopoda,Cyclopoida,Harpacticoida,Tigriopus,japonicus,Animalia|Maxillopoda|Cyclopoida|Harpacticoida|Tigriopus|japonicus
Animalia,Maxillopoda,Cyclopoida,Mytilicolidae,Mytilicola,intestinalis,Animalia|Maxillopoda|Cyclopoida|Mytilicolidae|Mytilicola|intestinalis
Animalia,Maxillopoda,Harpacticoida,Tisbidae,Tisbe,biminiensis,Animalia|Maxillopoda|Harpacticoida|Tisbidae|Tisbe|biminiensis
Animalia,Maxillopoda,Harpacticoida,Tisbidae,Tisbe,holothuriae,Animalia|Maxillopoda|Harpacticoida|Tisbidae|Tisbe|holothuriae
Animalia,Maxillopoda,Harpacticoida,Harpacticidae,Tigriopus,brevicornis,Animalia|Maxillopoda|Harpacticoida|Harpacticidae|Tigriopus|brevicornis
Animalia,Maxillopoda,Harpacticoida,Harpacticidae,Tigriopus,californicus,Animalia|Maxillopoda|Harpacticoida|Harpacticidae|Tigriopus|californicus
Animalia,Maxillopoda,Harpacticoida,Harpacticidae,Tigriopus,japonicus,Animalia|Maxillopoda|Harpacticoida|Harpacticidae|Tigriopus|japonicus
Animalia,Maxillopoda,Siphonostomatoida,Caligidae,Lepeoptheirus,salmonis salmonis,Animalia|Maxillopoda|Siphonostomatoida|Caligidae|Lepeoptheirus|salmonis salmonis
Animalia,Gastropoda,Littorinimorpha,Bithyniidae,Bithynia,NA,Animalia|Gastropoda|Littorinimorpha|Bithyniidae|Bithynia|NA
Animalia,Insecta,Coleoptera,Carabidae,Asaphidion,caraboides,Animalia|Insecta|Coleoptera|Carabidae|Asaphidion|caraboides
Animalia,Insecta,Coleoptera,Carabidae,Asaphidion,cyanicorne,Animalia|Insecta|Coleoptera|Carabidae|Asaphidion|cyanicorne
Animalia,Insecta,Coleoptera,Carabidae,Asaphidion,flavipes,Animalia|Insecta|Coleoptera|Carabidae|Asaphidion|flavipes
Animalia,Insecta,Coleoptera,Carabidae,Bembidion,quadripustulatum,Animalia|Insecta|Coleoptera|Carabidae|Bembidion|quadripustulatum
Animalia,Insecta,Coleoptera,Carabidae,Egadroma,marginatum,Animalia|Insecta|Coleoptera|Carabidae|Egadroma|marginatum
Animalia,Insecta,Coleoptera,Carabidae,Emphanes,minimus,Animalia|Insecta|Coleoptera|Carabidae|Emphanes|minimus
Animalia,Insecta,Coleoptera,Carabidae,Emphanes,rivularis,Animalia|Insecta|Coleoptera|Carabidae|Emphanes|rivularis
Animalia,Insecta,Coleoptera,Carabidae,Emphanes,tenellum,Animalia|Insecta|Coleoptera|Carabidae|Emphanes|tenellum
Animalia,Insecta,Coleoptera,Carabidae,Metallina,ambiguum,Animalia|Insecta|Coleoptera|Carabidae|Metallina|ambiguum
Animalia,Insecta,Coleoptera,Carabidae,Metallina,lampros,Animalia|Insecta|Coleoptera|Carabidae|Metallina|lampros
Animalia,Insecta,Coleoptera,Carabidae,Metallina,properans,Animalia|Insecta|Coleoptera|Carabidae|Metallina|properans
Animalia,Insecta,Coleoptera,Carabidae,Nepha,genei,Animalia|Insecta|Coleoptera|Carabidae|Nepha|genei
Animalia,Insecta,Coleoptera,Carabidae,Nepha,grisvardi,Animalia|Insecta|Coleoptera|Carabidae|Nepha|grisvardi
Animalia,Insecta,Coleoptera,Carabidae,Nepha,ibericum,Animalia|Insecta|Coleoptera|Carabidae|Nepha|ibericum
Animalia,Insecta,Coleoptera,Carabidae,Nepha,laterale,Animalia|Insecta|Coleoptera|Carabidae|Nepha|laterale
Animalia,Insecta,Coleoptera,Carabidae,Notaphus,ephippius,Animalia|Insecta|Coleoptera|Carabidae|Notaphus|ephippius
Animalia,Insecta,Coleoptera,Carabidae,Notaphus,varius,Animalia|Insecta|Coleoptera|Carabidae|Notaphus|varius
Animalia,Insecta,Coleoptera,Carabidae,Ocydromus,andreae,Animalia|Insecta|Coleoptera|Carabidae|Ocydromus|andreae
Animalia,Insecta,Coleoptera,Carabidae,Ocydromus,atrocoeruleus,Animalia|Insecta|Coleoptera|Carabidae|Ocydromus|atrocoeruleus
Animalia,Insecta,Coleoptera,Carabidae,Ocydromus,coeruleus,Animalia|Insecta|Coleoptera|Carabidae|Ocydromus|coeruleus
Animalia,Insecta,Coleoptera,Carabidae,Ocydromus,decorus,Animalia|Insecta|Coleoptera|Carabidae|Ocydromus|decorus
Animalia,Insecta,Coleoptera,Carabidae,Ocydromus,dudichi,Animalia|Insecta|Coleoptera|Carabidae|Ocydromus|dudichi
Animalia,Insecta,Coleoptera,Carabidae,Ocydromus,fasciolatus,Animalia|Insecta|Coleoptera|Carabidae|Ocydromus|fasciolatus
Animalia,Insecta,Coleoptera,Carabidae,Ocydromus,femoratus,Animalia|Insecta|Coleoptera|Carabidae|Ocydromus|femoratus
Animalia,Insecta,Coleoptera,Carabidae,Ocydromus,hispanicus,Animalia|Insecta|Coleoptera|Carabidae|Ocydromus|hispanicus
Animalia,Insecta,Coleoptera,Carabidae,Ocydromus,ripicola,Animalia|Insecta|Coleoptera|Carabidae|Ocydromus|ripicola
Animalia,Insecta,Coleoptera,Carabidae,Ocydromus,stephensi,Animalia|Insecta|Coleoptera|Carabidae|Ocydromus|stephensi
Animalia,Insecta,Coleoptera,Carabidae,Ocydromus,tibialis,Animalia|Insecta|Coleoptera|Carabidae|Ocydromus|tibialis
Animalia,Insecta,Coleoptera,Carabidae,Ocydromus,ustulatus,Animalia|Insecta|Coleoptera|Carabidae|Ocydromus|ustulatus
Animalia,Insecta,Coleoptera,Carabidae,Odontium,striatum,Animalia|Insecta|Coleoptera|Carabidae|Odontium|striatum
