Kingdom,Class,Order,Family,Genus,Species,Meiosis Type,Achiasmatic Sex,Diploid Number,Sex Chromosome System,Simplified SCS,Citation
Animalia,Copepoda,Cyclopoida,Harpacticoida,Tigriopus,californicus,Achiasmatic Meiosis,Female,24,,,"Burton, R.S., Feldman, M.W. and Swisher, S.G., 1981. Linkage relationships among five enzyme-coding gene loci in the copepod Tigriopus californicus: a genetic confirmation of achiasmatic meiosis. Biochemical genetics, 19(11), pp.1237-1245."
Animalia,Copepoda,Cyclopoida,Harpacticoida,Tigriopus,californicus,Achiasmatic Meiosis,Female,24,polygenic,Polygenic,"Bateman, A.W. and Anholt, B.R., 2017. Maintenance of polygenic sex determination in a fluctuating environment: an individual‐based model. Journal of evolutionary biology, 30(5), pp.915-925."
Animalia,Insecta,Hemiptera,Nabidae,Nabis,brevis,Achiasmatic Meiosis,Male,18,XY,XY,"NOKKALA, S. and NOKKALA, C., 1984. Achiasmatic male meiosis in the Heteropteran genus Nabis (Nabidae, Hemiptera). Hereditas, 101(1), pp.31-35."
Animalia,Insecta,Hemiptera,Nabidae,Nabis,brevis,Achiasmatic Meiosis,Male,18,XY,XY,"NOKKALA, S. and NOKKALA, C., 1984. Achiasmatic male meiosis in the Heteropteran genus Nabis (Nabidae, Hemiptera). Hereditas, 101(1), pp.31-35."
Animalia,Insecta,Hemiptera,Nabidae,Nabis,brevis,Achiasmatic Meiosis,,,,,"Grozeva, S. and Nokkala, S., 2003. C-heterochromatin and extra (B) chromosome distribution in six species of the Nabis (Heteroptera, Nabidae) with the modal male karyotype 2n= 16+ XY. FOLIA BIOLOGICA-KRAKOW-, 51(1/2), pp.13-22."
Animalia,Insecta,Hemiptera,Nabidae,Nabis,flavomarginatus,Achiasmatic Meiosis,Male,18,XY,XY,"Kuznetsova, V.G. and Maryańska‐Nadachowska, A., 2000. Autosomal polyploidy and male meiotic pattern in the bug family Nabidae (Heteroptera). Journal of Zoological Systematics and Evolutionary Research, 38(2), pp.87-94."
Animalia,Insecta,Hemiptera,Nabidae,Nabis,flavomarginatus,Achiasmatic Meiosis,Male,18,XY,XY,"NOKKALA, S. and NOKKALA, C., 1984. Achiasmatic male meiosis in the Heteropteran genus Nabis (Nabidae, Hemiptera). Hereditas, 101(1), pp.31-35."
Animalia,Insecta,Hemiptera,Nabidae,Nabis,flavomarginatus,Achiasmatic Meiosis,,18,,,"Kuznetsova, V.G. and Maryańska‐Nadachowska, A., 2000. Autosomal polyploidy and male meiotic pattern in the bug family Nabidae (Heteroptera). Journal of Zoological Systematics and Evolutionary Research, 38(2), pp.87-94."
Animalia,Insecta,Hemiptera,Nabidae,Nabis,limbatus,Achiasmatic Meiosis,Male,18,XY,XY,"Kuznetsova, V.G. and Maryańska‐Nadachowska, A., 2000. Autosomal polyploidy and male meiotic pattern in the bug family Nabidae (Heteroptera). Journal of Zoological Systematics and Evolutionary Research, 38(2), pp.87-94."
Animalia,Insecta,Hemiptera,Nabidae,Nabis,limbatus,Achiasmatic Meiosis,Male,18,XY,XY,"NOKKALA, S. and NOKKALA, C., 1984. Achiasmatic male meiosis in the Heteropteran genus Nabis (Nabidae, Hemiptera). Hereditas, 101(1), pp.31-35."
