Kingdom,Class,Order,Family,Genus,Species,Full_Path_Key,Segregation_Type,Sex_Without_Recomb,Sex_Chromosome_Sys,Diploid_Number
Animalia,Actinopterygii,Cyprinodontiformes,Poecilidae,Poecilia,formosa,Animalia|Actinopterygii|Cyprinodontiformes|Poecilidae|Poecilia|formosa,Asynaptic Sex Chromosomes,Heterogametic,NA,46
Animalia,Amphibia,Anura,Glandirana,Rana,esculenta,Animalia|Amphibia|Anura|Glandirana|Rana|esculenta,Asynaptic Sex Chromosomes,NA,NA,26
Animalia,Amphibia,Anura,Glandirana,Rana,rugosa,Animalia|Amphibia|Anura|Glandirana|Rana|rugosa,Achiasmatic Sex Chromosomes,Heterogametic,ZW,26
Animalia,Amphibia,Caudata,Salamandridae,Triturus,cristatus,Animalia|Amphibia|Caudata|Salamandridae|Triturus|cristatus,Asynaptic Sex Chromosomes,Both,XY,24
Animalia,Amphibia,Caudata,Salamandridae,Triturus,cristatus carnifex,Animalia|Amphibia|Caudata|Salamandridae|Triturus|cristatus carnifex,Asynaptic Sex Chromosomes,Heterogametic,NA,NA
Animalia,Amphibia,Caudata,Salamandridae,Triturus,marmoratus,Animalia|Amphibia|Caudata|Salamandridae|Triturus|marmoratus,Asynaptic Sex Chromosomes,Both,NA,24
Animalia,Arachnida,Araneae,Antrodiaetidae,Aliatypus,californicus,Animalia|Arachnida|Araneae|Antrodiaetidae|Aliatypus|californicus,Achiasmatic Meiosis,Heterogametic,XO,28
Animalia,Arachnida,Araneae,Diguetidae,Diguetia,albolineata,Animalia|Arachnida|Araneae|Diguetidae|Diguetia|albolineata,Achiasmatic Meiosis,Heterogametic,XY,20
Animalia,Arachnida,Araneae,Diguetidae,Diguetia,canities,Animalia|Arachnida|Araneae|Diguetidae|Diguetia|canities,Achiasmatic Meiosis,Heterogametic,XY,16
Animalia,Arachnida,Araneae,Drymusidae,Drymusa,capensis,Animalia|Arachnida|Araneae|Drymusidae|Drymusa|capensis,Achiasmatic Meiosis,Heterogametic,NA,38
Animalia,Arachnida,Araneae,Dysderidae,Dysdera,crocota,Animalia|Arachnida|Araneae|Dysderidae|Dysdera|crocota,Achiasmatic Meiosis,Heterogametic,XO,10
Animalia,Arachnida,Araneae,Euagridae,Euagrus,lynceus,Animalia|Arachnida|Araneae|Euagridae|Euagrus|lynceus,Achiasmatic Meiosis,Heterogametic,NA,60
