Kingdom,Class,Order,Family,Genus,Species,Meiosis Type,Achiasmatic Sex,Diploid Number,Sex Chromosome System,Simplified SCS,Citation
Animalia,Arachnida,Araneae,Pholcidae,Spermophora, senoculata,Achiasmatic,Male ,25,X1X2Y,Complex XY,"Král, J., Musilová, J., Št’áhlavský, F., ?ezá?, M., Akan, Z., Edwards, R.L., Coyle, F.A. and Almerje, C.R., 2006. Evolution of the karyotype and sex chromosome systems in basal clades of araneomorph spiders (Araneae: Araneomorphae). Chromosome Research, 14, pp.859-880."
Animalia,Arachnida,Araneae,Sicariidae,Loxosceles, rufescens,Achiasmatic,Male ,21,X1X2Y,Complex XY,"Král, J., Musilová, J., Št’áhlavský, F., ?ezá?, M., Akan, Z., Edwards, R.L., Coyle, F.A. and Almerje, C.R., 2006. Evolution of the karyotype and sex chromosome systems in basal clades of araneomorph spiders (Araneae: Araneomorphae). Chromosome Research, 14, pp.859-880."
Animalia,Arachnida,Araneae,Sicariidae,Loxosceles,intermedia,Achiasmatic,Male,23,XY,XY,"Araujo, D., Schneider, M.C., Zacaro, A.A., De Oliveira, E.G., Martins, R., Brescovit, A.D., Knysak, I. and Cella, D.M., 2020. Venomous Loxosceles species (Araneae, Haplogynae, Sicariidae) from Brazil: 2n?= 23 and X1X2Y sex chromosome system as shared characteristics. Zoological science, 37(2), pp.128-139."
Animalia,Arachnida,Araneae,Sicariidae,Loxosceles,laeta,Achiasmatic,Male,23,XY,XY,"Araujo, D., Schneider, M.C., Zacaro, A.A., De Oliveira, E.G., Martins, R., Brescovit, A.D., Knysak, I. and Cella, D.M., 2020. Venomous Loxosceles species (Araneae, Haplogynae, Sicariidae) from Brazil: 2n?= 23 and X1X2Y sex chromosome system as shared characteristics. Zoological science, 37(2), pp.128-139."
Animalia,Arachnida,Araneae,Sicariidae,Loxosceles,reclusa,Achiasmatic,Male,18,XY,XY,"Araujo, D., Schneider, M.C., Zacaro, A.A., De Oliveira, E.G., Martins, R., Brescovit, A.D., Knysak, I. and Cella, D.M., 2020. Venomous Loxosceles species (Araneae, Haplogynae, Sicariidae) from Brazil: 2n?= 23 and X1X2Y sex chromosome system as shared characteristics. Zoological science, 37(2), pp.128-139."
Animalia,Arachnida,Araneae,Sicariidae,Loxosceles,rufescens,Achiasmatic,Male,21,XY,XY,"Araujo, D., Schneider, M.C., Zacaro, A.A., De Oliveira, E.G., Martins, R., Brescovit, A.D., Knysak, I. and Cella, D.M., 2020. Venomous Loxosceles species (Araneae, Haplogynae, Sicariidae) from Brazil: 2n?= 23 and X1X2Y sex chromosome system as shared characteristics. Zoological science, 37(2), pp.128-139."
Animalia,Arachnida,Araneae,Sicariidae,Loxosceles,rufipes,Achiasmatic,Male,20,XY,XY,"Araujo, D., Schneider, M.C., Zacaro, A.A., De Oliveira, E.G., Martins, R., Brescovit, A.D., Knysak, I. and Cella, D.M., 2020. Venomous Loxosceles species (Araneae, Haplogynae, Sicariidae) from Brazil: 2n?= 23 and X1X2Y sex chromosome system as shared characteristics. Zoological science, 37(2), pp.128-139."
Animalia,Arachnida,Araneae,Sicariidae,Loxosceles,spinulosa,Achiasmatic,Male,19,XY,XY,"Araujo, D., Schneider, M.C., Zacaro, A.A., De Oliveira, E.G., Martins, R., Brescovit, A.D., Knysak, I. and Cella, D.M., 2020. Venomous Loxosceles species (Araneae, Haplogynae, Sicariidae) from Brazil: 2n?= 23 and X1X2Y sex chromosome system as shared characteristics. Zoological science, 37(2), pp.128-139."
Animalia,Arachnida,Araneae,Sicariidae,Loxosceles ,spinulosa,Achiasmatic,Male ,19,X1X2Y,Complex XY,"Král, J., Musilová, J., Št’áhlavský, F., ?ezá?, M., Akan, Z., Edwards, R.L., Coyle, F.A. and Almerje, C.R., 2006. Evolution of the karyotype and sex chromosome systems in basal clades of araneomorph spiders (Araneae: Araneomorphae). Chromosome Research, 14, pp.859-880."
Animalia,Arachnida,Pseudoscorpines,Atemnidae,Atemnus,politus,Achiasmatic,Male,95,XO,XO,"Š?áhlavský, F., Král, J., Harvey, M.S. and Haddad, C.R., 2012. The first cytogenetic characterization of atemnids: pseudoscorpions with the highest chromosome numbers (Arachnida: Pseudoscorpiones). Cytogenetic and Genome Research, 137(1), pp.22-30."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,alpicola,Achiasmatic,Male,21,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Š?áhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,boldorii,Achiasmatic,Male,35,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Š?áhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,carinthiacus,Achiasmatic,Male,35,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Š?áhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,diophthalmus ,Achiasmatic,Male,33,XO,XO,"Š? ÁHLAVSKÝ, F.R.A.N.T.I.Š.E.K. and KRÁL, J., 2004. Karyotype analysis and achiasmatic meiosis in pseudoscorpions of the family Chthoniidae (Arachnida: Pseudoscorpiones). Hereditas, 140(1), pp.49-60."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,fuscimanus,Achiasmatic,Male,35,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Š?áhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,fuscimanus ,Achiasmatic,Male,35,XO,XO,"Š? ÁHLAVSKÝ, F.R.A.N.T.I.Š.E.K. and KRÁL, J., 2004. Karyotype analysis and achiasmatic meiosis in pseudoscorpions of the family Chthoniidae (Arachnida: Pseudoscorpiones). Hereditas, 140(1), pp.49-60."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,heterodactylus,Achiasmatic,Male,33,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Š?áhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,"ischnocheles, cytotype I",Achiasmatic,Male,31,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Š?áhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,"ischnocheles, cytotype II",Achiasmatic,Male,35,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Š?áhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,litoralis,Achiasmatic,Male,35,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Š?áhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,litoralis ,Achiasmatic,Male,35,XO,XO,"Š? ÁHLAVSKÝ, F.R.A.N.T.I.Š.E.K. and KRÁL, J., 2004. Karyotype analysis and achiasmatic meiosis in pseudoscorpions of the family Chthoniidae (Arachnida: Pseudoscorpiones). Hereditas, 140(1), pp.49-60."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,nanus,Achiasmatic,Male,25,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Š?áhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,orthodactylus,Achiasmatic,Male,33,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Š?áhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,orthodactylus ,Achiasmatic,Male,33,XO,XO,"Š? ÁHLAVSKÝ, F.R.A.N.T.I.Š.E.K. and KRÁL, J., 2004. Karyotype analysis and achiasmatic meiosis in pseudoscorpions of the family Chthoniidae (Arachnida: Pseudoscorpiones). Hereditas, 140(1), pp.49-60."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,poeninus,Achiasmatic,Male,25,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Š?áhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,"raridentatus, cytotype I",Achiasmatic,Male,29,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Š?áhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,"raridentatus, cytotype II",Achiasmatic,Male,29,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Š?áhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325."
