label,Kingdom,Class,Order,Family,Genus,Species,type_meiosis,sex_no_recomb,sex_chr_sys,diploid_num
Animalia|Actinopterygii|Cyprinodontiformes|Poecilidae|Poecilia|formosa,Animalia,Actinopterygii,Cyprinodontiformes,Poecilidae,Poecilia,formosa,Asynaptic,Female,NA,46
Animalia|Amphibia|Anura|Glandirana|Rana|esculenta,Animalia,Amphibia,Anura,Glandirana,Rana,esculenta,Asynaptic,NA,NA,26
Animalia|Amphibia|Anura|Glandirana|Rana|rugosa,Animalia,Amphibia,Anura,Glandirana,Rana,rugosa,Achiasmatic,Female,ZW,0
Animalia|Amphibia|Caudata|Salamandridae|Triturus|cristatus,Animalia,Amphibia,Caudata,Salamandridae,Triturus,cristatus,Asynaptic,Both,XY,24
Animalia|Amphibia|Caudata|Salamandridae|Triturus|cristatuscarnifex,Animalia,Amphibia,Caudata,Salamandridae,Triturus,cristatus carnifex,Asynaptic,Female,NA,0
Animalia|Amphibia|Caudata|Salamandridae|Triturus|marmoratus,Animalia,Amphibia,Caudata,Salamandridae,Triturus,marmoratus,Asynaptic,Female,NA,24
Animalia|Arachnida|Araneae|Antrodiaetidae|Aliatypus|californicus,Animalia,Arachnida,Araneae,Antrodiaetidae,Aliatypus,californicus,Achiasmatic,Male,XO,27
Animalia|Arachnida|Araneae|Diguetidae|Diguetia|albolineata,Animalia,Arachnida,Araneae,Diguetidae,Diguetia,albolineata,Achiasmatic,Male,XY,20
Animalia|Arachnida|Araneae|Diguetidae|Diguetia|canities,Animalia,Arachnida,Araneae,Diguetidae,Diguetia,canities,Achiasmatic,Male,XY,16
Animalia|Arachnida|Araneae|Drymusidae|Drymusa|capensis,Animalia,Arachnida,Araneae,Drymusidae,Drymusa,capensis,Achiasmatic,Male,NA,37
Animalia|Arachnida|Araneae|Dysderidae|Dysdera|crocota,Animalia,Arachnida,Araneae,Dysderidae,Dysdera,crocota,Achiasmatic,Male,XO,10
Animalia|Arachnida|Araneae|Euagridae|Euagrus|lynceus,Animalia,Arachnida,Araneae,Euagridae,Euagrus,lynceus,Achiasmatic,Male,NA,59
Animalia|Arachnida|Araneae|Filistatidae|Filistata|insidiatrix,Animalia,Arachnida,Araneae,Filistatidae,Filistata,insidiatrix,Achiasmatic,Male,NA,33
Animalia|Arachnida|Araneae|Hypochilidae|Hypochilus|pococki,Animalia,Arachnida,Araneae,Hypochilidae,Hypochilus,pococki,Achiasmatic,Male,NA,29
Animalia|Arachnida|Araneae|Pholcidae|Holocnemus|caudatus,Animalia,Arachnida,Araneae,Pholcidae,Holocnemus,caudatus,Achiasmatic,Male,XO,23
Animalia|Arachnida|Araneae|Pholcidae|Pholcus|phalangioides,Animalia,Arachnida,Araneae,Pholcidae,Pholcus,phalangioides,Achiasmatic,Male,NA,25
Animalia|Arachnida|Araneae|Pholcidae|Spermophora|senoculata,Animalia,Arachnida,Araneae,Pholcidae,Spermophora,senoculata,Achiasmatic,Male,NA,25
Animalia|Arachnida|Araneae|Sicariidae|Loxosceles|intermedia,Animalia,Arachnida,Araneae,Sicariidae,Loxosceles,intermedia,Achiasmatic,Male,XY,23
Animalia|Arachnida|Araneae|Sicariidae|Loxosceles|laeta,Animalia,Arachnida,Araneae,Sicariidae,Loxosceles,laeta,Achiasmatic,Male,XY,23
Animalia|Arachnida|Araneae|Sicariidae|Loxosceles|reclusa,Animalia,Arachnida,Araneae,Sicariidae,Loxosceles,reclusa,Achiasmatic,Male,XY,18
Animalia|Arachnida|Araneae|Sicariidae|Loxosceles|rufescens,Animalia,Arachnida,Araneae,Sicariidae,Loxosceles,rufescens,Achiasmatic,Male,NA,21
Animalia|Arachnida|Araneae|Sicariidae|Loxosceles|rufipes,Animalia,Arachnida,Araneae,Sicariidae,Loxosceles,rufipes,Achiasmatic,Male,XY,20
Animalia|Arachnida|Araneae|Sicariidae|Loxosceles|spinulosa,Animalia,Arachnida,Araneae,Sicariidae,Loxosceles,spinulosa,Achiasmatic,Male,XY,19
Animalia|Arachnida|Pseudoscorpines|Atemnidae|Atemnus|politus,Animalia,Arachnida,Pseudoscorpines,Atemnidae,Atemnus,politus,Achiasmatic,Male,XO,95
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|alpicola,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,alpicola,Achiasmatic,Male,XO,21
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|boldorii,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,boldorii,Achiasmatic,Male,XO,35
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|carinthiacus,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,carinthiacus,Achiasmatic,Male,XO,35
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|diophthalmus,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,diophthalmus,Achiasmatic,Male,XO,33
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|fuscimanus,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,fuscimanus,Achiasmatic,Male,XO,35
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|heterodactylus,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,heterodactylus,Achiasmatic,Male,XO,33
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|ischnocheles_cytotype I,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,ischnocheles_ cytotype I,Achiasmatic,Male,XO,31
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|ischnocheles_cytotype II,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,ischnocheles_ cytotype II,Achiasmatic,Male,XO,35
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|litoralis,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,litoralis,Achiasmatic,Male,XO,35
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|nanus,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,nanus,Achiasmatic,Male,XO,25
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|orthodactylus,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,orthodactylus,Achiasmatic,Male,XO,33
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|poeninus,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,poeninus,Achiasmatic,Male,XO,25
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|raridentatus_cytotype I,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,raridentatus_ cytotype I,Achiasmatic,Male,XO,29
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|raridentatus_cytotype II,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,raridentatus_ cytotype II,Achiasmatic,Male,XO,29
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|rhodochelatus_cytotype I,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,rhodochelatus_ cytotype I,Achiasmatic,Male,XO,35
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|rhodochelatus_cytotype II,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,rhodochelatus_ cytotype II,Achiasmatic,Male,XO,35
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|sp.1,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,sp. 1,Achiasmatic,Male,XO,29
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|sp.2,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,sp. 2,Achiasmatic,Male,XO,21
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|tenuis,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,tenuis,Achiasmatic,Male,XO,35
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|tenuis_cytotype I,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,tenuis_ cytotype I,Achiasmatic,Male,XO,35
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|tenuis_cytotype II,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,tenuis_ cytotype II,Achiasmatic,Male,XO,33
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|tenuis_cytotype III,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,tenuis_ cytotype III,Achiasmatic,Male,XO,33
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|tenuis_cytotype IV,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,tenuis_ cytotype IV,Achiasmatic,Male,XO,33
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|tenuis_cytotype V,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,tenuis_ cytotype V,Achiasmatic,Male,XO,21
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|tetrachelatus,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,tetrachelatus,Achiasmatic,Male,XO,35
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|tetrachelatus_cytotype I,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,tetrachelatus_ cytotype I,Achiasmatic,Male,XO,35
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|tetrachelatus_cytotype II,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,tetrachelatus_ cytotype II,Achiasmatic,Male,XO,35
Animalia|Arachnida|Scorpiones|Bothriuridae|Bothriurus|araguayae,Animalia,Arachnida,Scorpiones,Bothriuridae,Bothriurus,araguayae,Achiasmatic,Male,NA,44
Animalia|Arachnida|Scorpiones|Bothriuridae|Bothriurus|rochensis,Animalia,Arachnida,Scorpiones,Bothriuridae,Bothriurus,rochensis,Achiasmatic,Male,NA,46
Animalia|Arachnida|Scorpiones|Bothriuridae|Bothriurus|Sp.,Animalia,Arachnida,Scorpiones,Bothriuridae,Bothriurus,Sp.,Achiasmatic,Male,NA,36
Animalia|Arachnida|Scorpiones|Bothriuridae|Brachistosternus|alienus,Animalia,Arachnida,Scorpiones,Bothriuridae,Brachistosternus,alienus,Achiasmatic,Male,NA,28
Animalia|Arachnida|Scorpiones|Bothriuridae|Brachistosternus|ferrugineus,Animalia,Arachnida,Scorpiones,Bothriuridae,Brachistosternus,ferrugineus,Achiasmatic,Male,NA,46
Animalia|Arachnida|Scorpiones|Bothriuridae|Brachistosternus|montanus,Animalia,Arachnida,Scorpiones,Bothriuridae,Brachistosternus,montanus,Achiasmatic,Male,NA,46
Animalia|Arachnida|Scorpiones|Bothriuridae|Brachistosternus|pentheri,Animalia,Arachnida,Scorpiones,Bothriuridae,Brachistosternus,pentheri,Achiasmatic,Male,NA,42
Animalia|Arachnida|Scorpiones|Buthidae|Ananteris|balzanii,Animalia,Arachnida,Scorpiones,Buthidae,Ananteris,balzanii,Achiasmatic,Male,NA,14
Animalia|Arachnida|Scorpiones|Buthidae|Androctonus|amoreuxi,Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,amoreuxi,Achiasmatic,Male,NA,24
Animalia|Arachnida|Scorpiones|Buthidae|Androctonus|amoreuxiamoreuxi,Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,amoreuxi amoreuxi,Achiasmatic,Male,NA,24
Animalia|Arachnida|Scorpiones|Buthidae|Androctonus|amoreuxilevyi,Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,amoreuxi levyi,Achiasmatic,Male,NA,24
Animalia|Arachnida|Scorpiones|Buthidae|Androctonus|australis,Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,australis,Achiasmatic,Male,NA,24
Animalia|Arachnida|Scorpiones|Buthidae|Androctonus|bicolor,Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,bicolor,Achiasmatic,Male,NA,24
Animalia|Arachnida|Scorpiones|Buthidae|Androctonus|bicolorbicolor,Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,bicolor bicolor,Achiasmatic,Male,NA,24
Animalia|Arachnida|Scorpiones|Buthidae|Androctonus|bicolorlongecarinatus,Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,bicolor longecarinatus,Achiasmatic,Male,NA,24
Animalia|Arachnida|Scorpiones|Buthidae|Androctonus|bourdoni,Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,bourdoni,Achiasmatic,Male,NA,24
Animalia|Arachnida|Scorpiones|Buthidae|Androctonus|crassicauda,Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,crassicauda,Achiasmatic,Male,NA,24
