Kingdom,Class,Order,Suborder,Family,Genus,Species,Meiosis Type,Achiasmatic Sex,Diploid Number,Sex Chromosome System,Simplificed SCS,Citation
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,anchonoderum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,andreae andreae    ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,andreae bualei    ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,antiquum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,aratum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,arcticum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,arenobilis ,,,26,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,arizoe     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,articulatum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,ascendens,,,24,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,assimile     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,atrocoeruleum     ,,,24,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,balli     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,basicorne ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,bellorum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,bifossulatum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,biguttatum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,bimaculatum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,bipunctatum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,bowditchi     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,brachythorax ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,brevistriatum     ,,,23,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,californicum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,callosum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,carinula     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,carolinense ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,carpetanum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,castor     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,castum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,cf anguliferum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,cf. immaturum    ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,chalceum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,coeruleum     ,,,26,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,coloradense     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,complanulum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,compressum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,concolor     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,concretum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,confusum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,connivens ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,consanguineum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,constricticolle ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,contraetum-group contractum ,,,22,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,contraetum-group viridicolle ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,convexulum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,cordatum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,coxendix     ,,,22,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,cribum ,,,23,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,dahli ,,,25,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,dauricum     ,,,25,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,decorum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,diligens     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,doris ,,,22,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,dorsale     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,dudichi     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,ephippium     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,fasciolatum egregium    ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,flebile ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,fortestriatum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,fortutum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,foveum,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,frontale ,,,24,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,fumigatum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,gebleri turbatum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,genei     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,geniculatum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,gordoni ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,graciliforme     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,grapei     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,'graphicum-Nr 1'    ,,,45,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,'graphicum-Nr 2'    ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,gratiosum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,grisvardi     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,guadarramense     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,guttula     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,haruspex ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,hasti,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,hasurada,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,hesperium     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,hispanicum     ,,,22,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,honestum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,humboldtense     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,hyperboraeorum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,hypocrita     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,ibericum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,iequale iequale    ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,iequale opaciceps    ,,,22,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,impotens     ,,,22,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,incrematum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,indistinctum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,insulatum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,integrum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,intermedium     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,interventor     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,iricolor     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,iridescens ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,kuprianovi-Nr 1 ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,kuprianovi-Nr 2 ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,kusteri paulinoi    ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,lacurium     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,lampros     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,lapponicum     ,,,23,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,latiplaga     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,laxatum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,lee ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,levettei carrianum    ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,levettei levettei    ,,,22,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,levigatum     ,,,22,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,littorale,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,lorquini     ,,,36,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,louisella ,,,22,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,lunulatum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,maculatum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,manningense ,,,24,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,maorinum maorinum ,,,23,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,mckinleyi carneum    ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,mckinleyi mckinleyi    ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,mexicanum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,millerianum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,mimus     ,,,26,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,minimum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,modestum,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,morulum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,mundum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,mutatum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,nebraskense     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,nevadense     ,,,22,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,nigripes     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,nigrocoeruleum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,nigrum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,nitidulus ovalipennis,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,nitidum     ,,,24,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,nudipenne ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,oberthueri-group oberthueri ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,obliquulum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,obscurellum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,obtusangulum-group mormon ,,,23,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,obtusangulum-group obtusangulum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,obtusum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,occultator ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,octomaculatum ,,,23,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,operosum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,patruele     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,petrosum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,planiusculum ,,,23,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,planum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,platum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,platynoides     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,poculare     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,praecinctum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,praticola ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,properans     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,pseudocautum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,punctatostriatum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,punctulatum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,quadrifoveolatum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,quadrimaculatum dubitans ,,,26,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,quadrimaculatum oppositum ,,,22,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,quadripustulatum,,,24,XY,XY,"Serrano, J., 1981. Male achiasmatic meiosis in Caraboidea (Coleoptera, Adephaga). Genetica, 57(2), pp.131-137."
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,quadrulum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,rapidum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,recticolle     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,ripicola     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,rivulare     ,,,23,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,roosvelti ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,rothfelsi ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,ruficorne ,,,34,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,rufinum ,,,26,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,rufotinctum ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,rupicola     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,rusticum lenensoides ,,,23,XO,XO,
