Kingdom,Class,Order,Suborder,Family,Genus,Species,Meiosis Type,Achiasmatic Sex,Diploid Number,Sex Chromosome System,Simplificed SCS,Citation
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Abacetus,salzamanni     ,,,,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Abax,ater     ,,,41,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Abax,ovalis     ,,,35,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Abax,parallelepipedus     ,,,35,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Abax,parallelus     ,,,35,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Acinopus,giganteus,,,35,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Acinopus,gutturosus,,,37,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Acinopus,picipes     ,,,37,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Acupalpus,brunnipes,,,37,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Acupalpus,elegans ,,,45,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Acupalpus,maculatus,,,22,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonini,sp. 1    ,,,39,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonini,sp. 2    ,,,30,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonum,bogemanni     ,,,36,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonum,corvus,,,36,NeoXY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonum,cupripenne     ,,,39,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonum,dolens     ,,,36,NeoXY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonum,ericeti     ,,,39,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonum,errans     ,,,34,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonum,extensicolle,,,37,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonum,fuliginosum     ,,,37,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonum,gracile,,,37,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonum,livens     ,,,"35,36",,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonum,marginatum     ,,,43,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonum,micans,,,37,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonum,moestum     ,,,35,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonum,moestum longipenne    ,,,34,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonum,muelleri     ,,,34,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonum,munsteri     ,,,37,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonum,nigrum     ,,,36,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonum,retractum     ,,,34,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonum,sexpunctatum     ,,,37,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonum,sp. 1    ,,,37,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonum,sp. 2    ,,,37,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonum,thoreyi     ,,,37,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonum,thoreyi melanocephalus    ,,,35,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Agonum,viridicupreum,,,35,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amara,aenea     ,,,37,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amara,apricaria     ,,,35,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amara,arcuata,,,33,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amara,aulica     ,,,37,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amara,batesi,,,33,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amara,communis     ,,,37,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amara,equestris,,,37,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amara,familiaris     ,,,30,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amara,fervida,,,34,NeoXY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amara,fulva,,,33,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amara,giganteus     ,,,35,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amara,impuncticollis     ,,,41,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amara,ingenua,,,34,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amara,laevipennis     ,,,37,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amara,metallescens,,,32,NeoXY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amara,moerens,,,21,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amara,montivaga,,,37,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amara,nila,,,37,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amara,plebeja,,,22,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amara,rotundicollis,,,34,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amara,rufescens,,,26,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amara,similata,,,24,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amara,simplex,,,32,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amblycheila,baroni     ,,,20,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amblystomus,bivittatus     ,,,44,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amblystomus,quadriguttatus     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amblytelus,curtus     ,,,28,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amphasia,interstitialis     ,,,30,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Amphasia,sericea     ,,,35-37,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Anchomenidius,astur     ,,,29,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Anchomenus,dorsalis,,,43,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Anisodactylus,binotatus,,,44,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Anisodactylus,hispanus     ,,,37,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Anisodactylus,sigtus     ,,,37,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Anisodactylus,virens     ,,,37,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Anomoglossus,emargitus     ,,,37,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Anthia,sexguttata     ,,,37,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Apenes,margilis     ,,,35,XO,XO,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Aptinus,displosor     ,,,36,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Arthropterus,sp. 1    ,,,32,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Asaphidion,caraboides,,,24,XY,XY,"Serrano, J., 1981. Male achiasmatic meiosis in Caraboidea (Coleoptera, Adephaga). Genetica, 57(2), pp.131-137."
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Asaphidion,curtum     ,,,46,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Asaphidion,cyanicorne,,,24,XY,XY,"Serrano, J., 1981. Male achiasmatic meiosis in Caraboidea (Coleoptera, Adephaga). Genetica, 57(2), pp.131-137."
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Asaphidion,flavipes,,,24,XY,XY,"Serrano, J., 1981. Male achiasmatic meiosis in Caraboidea (Coleoptera, Adephaga). Genetica, 57(2), pp.131-137."
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Asaphidion,rossii,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Baudia,anomala     ,,,24,,,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,aeneicolle     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,aenulum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,alaskense     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,ambiguum     ,,,24,XY,XY,
Animalia,Insecta,Coleoptera,Adephaga,Carabidae,Bembidion,americanum     ,,,24,,,
