Database,Phyla,Class,Order,Family,Species,Original Name,Meiosis Type,Ploidy,Female Diploid #,Male Diploid #,Achiasmy Sex,Sex Chromosome System,Notes,Sex Chrom Notes,Citation
Amphibia,Chordata,Amphiba,Anura,Allophrynidae,Allophryne ruthveni,NA,chiasmatic,NA,NA,20,NA,NA,NA,NA,"Trujillo Torres, M.B., 2018. Caracterization citogenetica de Teratohyla amelie y Teratohyla midas.(Anura: Centrolenidae) (Bachelor's thesis, PUCE)."
Amphibia,Chordata,Amphiba,Anura,Alsodidae,Alsodes aff vittatus,NA,chiasmatic,NA,NA,26,NA,NA,NA,NA,"Cuevas, C.C. and Formas, J.R., 2003. Cytogenetic analysis of four species of the genus Alsodes (Anura: Leptodactylidae) with comments about the karyological evolution of the genus. Hereditas, 138(2), pp.138-147."
Amphibia,Chordata,Amphiba,Anura,Alsodidae,Alsodes barrioi,NA,chiasmatic,NA,NA,34,NA,NA,NA,NA,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Amphibia,Chordata,Amphiba,Anura,Alsodidae,Alsodes coppingeri,Eupsophus coppingeri,chiasmatic,NA,NA,26,NA,NA,NA,NA,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Amphibia,Chordata,Amphiba,Anura,Alsodidae,Alsodes gargola,NA,chiasmatic,NA,NA,26,NA,NA,NA,NA,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Amphibia,Chordata,Amphiba,Anura,Alsodidae,Alsodes hugoi,NA,chiasmatic,NA,NA,26,NA,NA,NA,NA,"Blotto, B.L., Nunez, J.J., Basso, N.G., Ubeda, C.A., Wheeler, W.C. and Faivovich, J., 2013. Phylogenetic relationships of a Patagonian frog radiation, the Alsodes+ Eupsophus clade (Anura: Alsodidae), with comments on the supposed paraphyly of Eupsophus. Cladistics, 29(2), pp.113-131."
Amphibia,Chordata,Amphiba,Anura,Alsodidae,Alsodes igneus,NA,chiasmatic,NA,NA,26,NA,NA,NA,NA,"Blotto, B.L., Nunez, J.J., Basso, N.G., Ubeda, C.A., Wheeler, W.C. and Faivovich, J., 2013. Phylogenetic relationships of a Patagonian frog radiation, the Alsodes+ Eupsophus clade (Anura: Alsodidae), with comments on the supposed paraphyly of Eupsophus. Cladistics, 29(2), pp.113-131."
Amphibia,Chordata,Amphiba,Anura,Alsodidae,Alsodes montanus,Telmatobius montanus,chiasmatic,NA,NA,26,NA,NA,NA,NA,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Amphibia,Chordata,Amphiba,Anura,Alsodidae,Alsodes monticola,NA,chiasmatic,NA,NA,26,NA,NA,NA,NA,"King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
Amphibia,Chordata,Amphiba,Anura,Alsodidae,Alsodes neuquensis,NA,chiasmatic,NA,NA,26,NA,NA,NA,NA,"Blotto, B.L., Nunez, J.J., Basso, N.G., Ubeda, C.A., Wheeler, W.C. and Faivovich, J., 2013. Phylogenetic relationships of a Patagonian frog radiation, the Alsodes+ Eupsophus clade (Anura: Alsodidae), with comments on the supposed paraphyly of Eupsophus. Cladistics, 29(2), pp.113-131."
