Database,Phyla,Class,Order,Family,Species,Original Name,Meiosis Type,Ploidy,Female Diploid,Male Diploid,Achiasmy Sex,Sex Chromosome System,SCS Notes,Citation
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus hottentotus,,,2,30,30,,XY,,Animal Karyotype Book (Bronner 1995a)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus hottentotus longiceps,,,2,30,30,,XY,,Animal Karyotype Book 2020 (Gilbert et al 2008)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus hottentotus meesteri,,,2,30,30,,XY,,Animal Karyotype Book 2020 (Gilbert et al 2008)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus hottentotus pondoliae,,,2,30,30,,XY,,Animal Karyotype Book 2020 (Gilbert et al 2008)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus iris,,,2,34,34,,XY,,Animal Karyotype Book (Capanna et al. 1989)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus julianae,,,2,31,31,,XY,,Animal Karyotype Book (Bronner 1995a)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus robustus,,,2,36,36,,XY,,Animal Karyotype Book 2020 (Gilbert et al 2008)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Calcochloris obtusirostris,,,2,28,28,,XY,,Animal Karyotype Book 2020 (Gilbert et al 2008)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Chlorotalpa duthieae,,,2,30,30,,XY,,Animal Karyotype Book (Bronner 1995a)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Chlorotalpa sclateri,,,2,30,30,,XY,,Animal Karyotype Book (Bronner 1995a)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Chrysochloris asiatica,,,2,30,30,,XY,,Animal Karyotype Book 2020 (Robinson et al. 2004)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Chrysospalax trevelyani,,,2,30,30,,XY,,Animal Karyotype Book 2020 (Gilbert et al. 2006)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Cryptochloris zyli,,,2,30,30,,XY,,Animal Karyotype Book 2020 (Gilbert et al. 2006)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Eremitalpa granti,,,2,26,26,,XY,,Animal Karyotype Book 2020 (Gilbert et al. 2006)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Neamblysomus julianae,,,2,30,30,,XY,,Animal Karyotype Book 2020 (Gilbert et al 2008)
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Echinops telfairi,,,2,40,40,,XY,,Animal Karyotype Book (Benirschke 1969)
