Database,Phyla,Class,Order,Family,Species,Original Name,Meiosis Type,Ploidy,Female Diploid,Male Diploid,Achiasmy Sex,Sex Chromosome System,SCS Notes,Citation
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Hemicentetes nigriceps,,,2,38,38,,XY,,Animal Karyotype Book 2020 (Benirschke 1969)
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale cowani,,,2,38,38,,XY,,Animal Karyotype Book 2020 (Gilbert et al. 2007)
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale dobsoni,,,2,30,30,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale fotsifotsy,,,2,32,32,,XY,,Animal Karyotype Book 2020 (Gilbert et al. 2007)
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale longicaudata,,,2,30,30,,XY,,Animal Karyotype Book 2020 (Gilbert et al. 2007)
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale majori,,,2,30,30,,XY,,Animal Karyotype Book 2020 (Gilbert et al. 2007)
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale parvula,,,2,32,32,,XY,,Animal Karyotype Book 2020 (Gilbert et al. 2007)
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale principula,,,2,30,30,,XY,,Animal Karyotype Book 2020 (Gilbert et al. 2007)
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale soricoides,,,2,32,32,,XY,,Animal Karyotype Book 2020 (Gilbert et al. 2007)
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale taiva,,,2,32,32,,XY,,Animal Karyotype Book 2020 (Gilbert et al. 2007)
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale thomasi,,,2,56,56,,XY,,Animal Karyotype Book 2020 (Gilbert et al. 2007)
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Oryzorictes hova,,,2,32,32,,XY,,Animal Karyotype Book 2020 (Gilbert et al. 2007)
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Tenrec eucadatus,,,2,38,38,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Antilocapridae,Antilocapra americana,,,2,58,58,,XY,,Blackmon (Kulemzina et al. 2009)
Mammal,Chordata,Mammalia,Artiodactyla,Balaenidae,Balena mysticetus,,,2,42,42,,XY,,Animal Karyotype Book (Jarelle 1979)
Mammal,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera acutorostrata,,,2,44,44,,XY,,Blackmon (Arnason 1981a)
Mammal,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera borealis,,,2,44,44,,XY,,Blackmon (Nash (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera musculus,,,2,44,44,,XY,,Animal Karyotype Book (Arnason and Widegren 1989)
Mammal,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera physalus,,,2,42,42,,XY,,Animal Karyotype Book (Arnason 1974a)
Mammal,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera physalus,,,2,44,44,,XY,,Blackmon (Arnason 1974a)
Mammal,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Megaptera novaeangliae,,,2,44,44,,XY,,Animal Karyotype Book (Arnason 1974a)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Addax nasomaculatus,,,2,58,58,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Aepyceros melampus,,,2,60,60,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Aepyceros melampus petersi,,,2,58-60,58-60,,XY,,Animal Karyotype Book (Rubes et al. 2012)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Alcephalus buselaphus jacksoni,,,2,40,40,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Alcephalus busephalus,,,2,40,40,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Ammotragus lervia,,,2,58,58,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Anoa depressicornis depressicornis,,,2,48,48,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Antidorcas marsupialis,,,2,56,56,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Antilope cervicapra,,,2,30-33,30-33,,XY,,Animal Karyotype Book (Cerohorska et al. 2012)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Bison bison,,,2,60,60,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Bison bonasus,,,2,60,60,,XY,,Animal Karyotype Book (Graphodatsky (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Bos frontalis (gaurus),,,2,58,58,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Bos frontalis (gayal),,,2,58,58,,XY,,Animal Karyotype Book 2020 (Chi et al. 2005a)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Bos grunniens,,,2,60,60,,XY,,Animal Karyotype Book (Craphodatsky and Biltueva (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Bos indicus,,,2,60,60,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Bos javanicus,,,2,60,60,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Bos taurus,,,2,60,60,,XY,,Blackmon (Hayes et al. 1995)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Boselaphus tragocamelus,,,2,46,46,,XY,rujuvenation of autosome 14 o sex chromosomes,Blackmon (Gallagher et al. 1998)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus bubalis,,,2,50,50,,XY,,Blackmon (Iannuzzi 1994)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus depressicornis,,,2,48,48,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Budorcas taxicolor,,,2,52,52,,XY,,Animal Karyotype Book (Rubes et al. 2012)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Capra cylindricornis,,,2,60,60,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Capra hircus,,,2,60,60,,XY,,Blackmon (Biltueva and Graphodatsky (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Capra hircus aegagrus,,,2,60,60,,XY,,Animal Karyotype Book 2020 (Huang et al. 2005)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Capra hircus hircus,,,2,60,60,,XY,,Animal Karyotype Book 2020 (Biltueva and Graphodatsky (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Capra ibex,,,2,60,60,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Capra pyrenaica hispanica,,,2,60,60,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Capricornis crispus,,,2,50,50,,XY,,Blackmon (Biltueva et al. (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Capricornis sumatraensis,,,2,48,48,,XY,,Animal Karyotype Book 2020 (Huang et al. 2005)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus dorsalis,,,2,60,60,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus monticola,,,2,60,60,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus niger,,,2,60,60,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus rufilatus,,,2,60,60,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus silvicultor,,,2,60,60,,XY,,Blackmon (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Connochaetes gnou,,,2,58,58,,XY,,Blackmon (Rubes et al.2012)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Connochaetes taurinus,,,2,58,58,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Connochaetes taurinus albojubatus,,,2,58,58,,XY,,Animal Karyotype Book (Rubes et al. 2012)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Damaliscus dorcas phillipsi,,,2,38,38,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Damaliscus hunteri,,,2,44,44,,XY,,Animal Karyotype Book (Kumamoto et al. 1996)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Damaliscus lunatus topi,,,2,36,36,,XY,,Animal Karyotype Book (Kumamoto et al. 1996)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Damaliscus pygargus phillipsi,,,2,38,38,,XY,,Animal Karyotype Book (Kumamoto et al. 1996)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella bennettii,,,2,49-52,49-52,,XY,,Animal Karyotype Book (Kumamoto et al. 1995)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella cuvieri,,,2,32,33,,complex XY,"X/A, X/A/Y",Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella dama mhorr,,,2,38-40,38-40,,complex XY,rujuvenation of autosomes to sex chromosomes,Animal Karyotype Book (Cernohorska et al. 2012)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella dama ruficollis,,,2,38-40,38-40,,complex XY,rujuvenation of autosomes to sex chromosomes,Animal Karyotype Book (Cernohorska et al. 2012)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella dorcas,,,2,30,31,,complex XY,XY1Y2,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella gazella,,,2,34,35,,complex XY,XY1Y2,Blackmon (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella granti,,,2,30,31,,complex XY,XY1Y2,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella granti roosevelti,,,2,30,31,,complex XY,"X/A, Y; rujuvenation of autosome to X-chromosome",Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella leptoceros,,,2,32,33,,complex XY,XY1Y2,Blackmon (Cernohorska et al. 2012)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella rufifrons laevipes,,,2,58,58,,XY,rujuvenation of autosome to sex chromosomes,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella saudiya,,,2,46-53,46-53,,XY,,Animal Karyotype Book (Kumamoto et al. 1995)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella soemmerringii,,,2,34-39,34-39,,complex XY,rujuvenation of autosomes to sex chromosomes,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella spekei,,,2,32,33,,complex XY,XY1Y2,Blackmon (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella subgutturosa,,,2,30,31,,complex XY,XY1Y2,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella subgutturosa marica,,,2,30-32,31-33,,complex XY,,Animal Karyotype Book (Kingswoo and Blank 1996)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella subgutturosa subgutturosa,,,2,32,31,,complex XY,"X/A, X/A/Y",Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella thomsonii,,,2,58,58,,XY,rujuvenation of autosome to sex chromosomes,Blackmon (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Hemitragus jemlahicus,,,2,48,48,,XY,,Blackmon (Rubes et al. 2012)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Hippotragus equinus,,,2,60,60,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Hippotragus niger,,,2,60,60,,XY,,Blackmon (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus ellipsiprymnus defassa,,,2,53-54,53-54,,XY,,Animal Karyotype Book (Kingswood et al. 1998a)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus ellipsiprymnus ellipsiprymnus,,,2,50-52,50-52,,XY,,Animal Karyotype Book (Kingswood et al. 1998a)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus kob,,,2,50,50,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus kob thomasi,,,2,50,50,,XY,,Animal Karyotype Book (Kingswood et al. 2000)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus leche,,,2,48,48,,XY,,Animal Karyotype Book (Kingswood et al. 2000)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus megaceros,,,2,52,52,,XY,,Animal Karyotype Book (Kingswood et al. 2000)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Madoqua guentheri,,,2,48-50,48-50,,XY,,Animal Karyotype Book (Kingswood and Kumamoto 1996)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Madoqua kirkii,,,2,46-48,46-48,,XY,,Animal Karyotype Book (Kingswood and Kumamoto 1996)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Naemorhedus baileyi cranbrooki,,,2,56,56,,XY,,Animal Karyotype Book 2020 (Huang et al. 2005)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Naemorhedus goral,,,2,56,56,,XY,,Animal Karyotype Book (Biltueva and Graphodatsky (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Naemorhedus goral,,,2,55,55,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Neotragus moschatus,,,2,52-56,52-56,,XY,,Animal Karyotype Book (Kingswood et al. 1998b)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Oreamnos americanus,,,2,42,42,,XY,,Blackmon (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Oreotragus oreotragus stevensoni,,,2,60,60,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx beisa beisa,,,2,58,58,,XY,,Animal Karyotype Book 2020 (Kumamoto et al. 1999)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx beisa callotis,,,2,58,58,,XY,,Animal Karyotype Book 2020 (Kumamoto et al. 1999)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx dammah,,,2,56-58,56-58,,XY,,Animal Karyotype Book (Kumamoto et al. 1999)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx gazella,,,2,56,56,,XY,,Animal Karyotype Book 2020 (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx gazella beisa,,,2,58,58,,XY,,Animal Karyotype Book (Kumamoto et al. 1999)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx gazella callotis,,,2,58,58,,XY,,Animal Karyotype Book (Kumamoto et al. 1999)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx gazella gazella,,,2,56,56,,XY,,Blackmon (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx leucoryx,,,2,57-58,57-58,,XY,,Animal Karyotype Book (Rubes et al. 2012)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Ovibos moschatus,,,2,48,48,,XY,,Blackmon (Biltueva and Graphodatsky (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis ammon,,,2,56,56,,XY,,Animal Karyotype Book 2020 (Huang et al. 2005)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis ammon nigrimontana,,,2,56,56,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis aries,,,2,54,54,,XY,,Blackmon (Cribiu et al. 2001)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis aries aries,,,2,54,54,,XY,,Animal Karyotype Book 2020 (Iannuzzi et al. 1999)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis aries musimon,,,2,54,54,,XY,,Animal Karyotype Book 2020 (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis aries orientalis,,,2,54,54,,XY,,Animal Karyotype Book 2020 (Proskuryakova and Beklemisheva (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis canadensis,,,2,54,54,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis nivcola,,,2,52,52,,XY,,Animal Karyotype Book 2020 (Huang et al. 2005)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis orientalis,,,2,54,54,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis orientalis musimon,,,2,54,54,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Pelea capreolus,,,2,56,56,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Pseudois nayaur szechuanensis,,,2,56,56,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Pseudois schaeferi,,,2,54,54,,XY,,Animal Karyotype Book 2020 (Veterinary Research Institute Brno (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Pseudoryx nghetinhensis,,,2,50,50,,XY,,Animal Karyotype Book 2020 (Kulemzina et al. 2014)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Raphicerus campestris,,,2,30,30,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Redunca fulvorufula,,,2,56-57,56-57,,XY,chrom rearrangements,Animal Karyotype Book 2020 (Rubes et al. 2007)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Rupricapra rupicapra,,,2,58,58,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Syncerus caffer,,,2,54-56,54-56,,XY,chrom rearrangements,Animal Karyotype Book (Ropiquet et al. 2010)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Syncerus caffer,,,2,52,52,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Taurotragus derbianus,,,2,32,31,,complex XY,"X/X, X/Y/A",Animal Karyotype Book (Rubes et al. 2008)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Taurotragus oryx pattersonianus,,,2,32,31,,complex XY,"X/X, X/Y/A",Animal Karyotype Book (Rubes et al. 2008)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Tetracerus quadricornis,,,2,38,38,,XY,,Blackmon (Popiquet et al. 2010)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus angasii,,,2,54,55,,complex XY,"X/X, X/Y/A",Animal Karyotype Book (Rubes et al. 2008)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus eurycerus,,,2,34,33,,complex XY,"X/X, X/Y/A",Animal Karyotype Book (Rubes et al. 2008)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus imberbis,,,2,38,38,,XY,,Animal Karyotype Book (Rubes et al. 2008)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus scriptus,,,2,34,34,,XY,,Animal Karyotype Book 2020 (Rubes et al. 2008)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus spekii,,,2,30,30,,XY,,Blackmon (Rubes et al. 2008)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus strepsiceros,,,2,32,32,,XY,,Animal Karyotype Book (Rubes et al. 2008)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus strepsiceros strepsiceros,,,2,32,31,,complex XY,X1X2Y,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus bactrianus,,,2,74,74,,XY,,Blackmon (Balmus et al. 2007)
Mammal,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus dromedarius,,,2,74,74,,XY,,Animal Karyotype Book (Balmus et al. 2007)
Mammal,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus ferus,,,2,74,74,,XY,,Animal Karyotype Book 2020 (Proskuryakova et al. (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Camelidae,Lama glama,,,2,74,74,,XY,,Animal Karyotype Book 2020 (Balmus et al. 2007)
Mammal,Chordata,Mammalia,Artiodactyla,Camelidae,Lama guanicoe,,,2,74,74,,XY,,Animal Karyotype Book 2020 (Balmus et al. 2007)
Mammal,Chordata,Mammalia,Artiodactyla,Camelidae,Lama pacos,,,2,74,74,,XY,,Animal Karyotype Book 2020 (Balmus et al. 2007)
Mammal,Chordata,Mammalia,Artiodactyla,Camelidae,Vicugna vicugna,,,2,74,74,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Cervidae,Alces alces,,,2,68,68,,XY,,Blackmon (Graphodatsky (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Cervidae,Axis axis,,,2,66,66,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Cervidae,Axis calamianensis,,,2,68,68,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Cervidae,Axis kuhlii,,,2,68,68,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Cervidae,Blastocerus dichotomus,,,2,66,66,,XY,,Animal Karyotype Book 2020 (Duarte and Giannoni 1995a)
Mammal,Chordata,Mammalia,Artiodactyla,Cervidae,Capreolus capreolus,,,2,70,70,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Cervidae,Capreolus pygargus,,,2,70,70,,XY,,Animal Karyotype Book (Dementyeva et al. 2010)
Mammal,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus albirostris,,,2,66,66,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus elaphus,,,2,68,68,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus elaphus,,,2,62,62,,XY,,Animal Karyotype Book 2020 (Huang et al. 2006a)
Mammal,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus elaphus bactrianus,,,2,68,68,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus elaphus sibiricus,,,2,68,68,,XY,,Animal Karyotype Book (Graphodatsky (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus nippon,,,2,66,66,,XY,,Animal Karyotype Book 2020 (Huang et al. 2006a)
Mammal,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus nippon hortulorum,,,2,66,66,,XY,,Animal Karyotype Book (Graphodatsky (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus nippon mandarinus,,,2,66,66,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus timorensis russa,,,2,60,60,,XY,,Animal Karyotype Book 2020 (Frohlich et al. 2017)
