"Kingdom","Class","Order","Family","Genus","Species","Meiosis.Type","Achiasmatic.Sex","Diploid.Number","Sex.Chromosome.System","Simplified.SCS","Citation","Sci_name"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","cerealis","Asynaptic Sex Chromosomes","Male","24","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysolina_cerealis"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","cf.","Asynaptic Sex Chromosomes","Male","26","Xyp","XY","Petitpierre, Kippenberg, Mikhailov, and Bourdonn_ (2004)","Chrysolina_cf."
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","coerulans","Asynaptic Sex Chromosomes","Male","24","Xyp","XY","Rozek, Lachowska, Petitpierre, and Holecova (2004)","Chrysolina_coerulans"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","colasi","Asynaptic Sex Chromosomes","Male","24","Xyp","XY","Petitpierre and Mikhailov (2013)","Chrysolina_colasi"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","curvilinea","Asynaptic Sex Chromosomes","Male","40","Xyp","XY","Petitpierre, Kippenberg, Mikhailov, and Bourdonn_ (2004)","Chrysolina_curvilinea"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","diluta","Asynaptic Sex Chromosomes","Male","36","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysolina_diluta"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","fastuosa","Asynaptic Sex Chromosomes","Male","24","Xyp","XY","Rozek, Lachowska, Petitpierre, and Holecova (2004)","Chrysolina_fastuosa"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","femoralis","Asynaptic Sex Chromosomes","Male","24","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysolina_femoralis"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","fragariae","Asynaptic Sex Chromosomes","Male","24","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysolina_fragariae"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","gebleri","Asynaptic Sex Chromosomes","Male","26","Xyp","XY","Petitpierre and Mikhailov (2013)","Chrysolina_gebleri"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","gemi","Asynaptic Sex Chromosomes","Male","24","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysolina_gemi"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","globosa","Asynaptic Sex Chromosomes","Male","26","Xyp","XY","Petitpierre, Kippenberg, Mikhailov, and Bourdonn_ (2004)","Chrysolina_globosa"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","graminis","Asynaptic Sex Chromosomes","Male","24","Xyp","XY","Rozek, Lachowska, Petitpierre, and Holecova (2004)","Chrysolina_graminis"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","grossa","Asynaptic Sex Chromosomes","Male","24","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysolina_grossa"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","gypsophilae","Asynaptic Sex Chromosomes","Male","30","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysolina_gypsophilae"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","haemoptera","Asynaptic Sex Chromosomes","Male","40","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysolina_haemoptera"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","herbacea","Asynaptic Sex Chromosomes","Male","24","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysolina_herbacea"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","interstincta","Asynaptic Sex Chromosomes","Male","40","Xyp","XY","Petitpierre, Kippenberg, Mikhailov, and Bourdonn_ (2004)","Chrysolina_interstincta"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","janbechynei","Asynaptic Sex Chromosomes","Male","40","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysolina_janbechynei"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","kuesteri","Asynaptic Sex Chromosomes","Male","22","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysolina_kuesteri"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","lucida","Asynaptic Sex Chromosomes","Male","24","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysolina_lucida"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","marcasitica","Asynaptic Sex Chromosomes","Male","42","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysolina_marcasitica"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","marginata","Asynaptic Sex Chromosomes","Male","40","Xyp","XY","Petitpierre and Mikhailov (2013)","Chrysolina_marginata"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","oricalcia","Asynaptic Sex Chromosomes","Male","40","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysolina_oricalcia"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","peregrina","Asynaptic Sex Chromosomes","Male","46","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysolina_peregrina"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","polita","Asynaptic Sex Chromosomes","Male","24","Xyp","XY","Rozek, Lachowska, Petitpierre, and Holecova (2004)","Chrysolina_polita"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","purpurascens","Asynaptic Sex Chromosomes","Male","24","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysolina_purpurascens"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","pyrenaica","Asynaptic Sex Chromosomes","Male","40","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysolina_pyrenaica"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","staphylea","Asynaptic Sex Chromosomes","Male","22","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysolina_staphylea"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","umbratilis","Asynaptic Sex Chromosomes","Male","30","Xyp","XY","Petitpierre, Kippenberg, Mikhailov, and Bourdonn_ (2004)","Chrysolina_umbratilis"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","varians","Asynaptic Sex Chromosomes","Male","32","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysolina_varians"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysolina","veridana","Asynaptic Sex Chromosomes","Male","24","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysolina_veridana"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysomela","interrupta","Asynaptic Sex Chromosomes","Male","34","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysomela_interrupta"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysomela","lapponica","Asynaptic Sex Chromosomes","Male","34","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysomela_lapponica"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysomela","mainensis","Asynaptic Sex Chromosomes","Male","34","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysomela_mainensis"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysomela","populi","Asynaptic Sex Chromosomes","Male","34","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysomela_populi"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysomela","schaefferi","Asynaptic Sex Chromosomes","Male","34","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysomela_schaefferi"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysomela","schaefferi","Asynaptic Sex Chromosomes","Male","34","Xyyp","Complex XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysomela_schaefferi"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysomela","sp.","Asynaptic Sex Chromosomes","Male","34","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysomela_sp."
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysomela","tremulae","Asynaptic Sex Chromosomes","Male","34","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysomela_tremulae"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysophtharta","aurea","Asynaptic Sex Chromosomes","Male","24","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysophtharta_aurea"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysophtharta","decolorata","Asynaptic Sex Chromosomes","Male","24","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysophtharta_decolorata"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysophtharta","nobilitata","Asynaptic Sex Chromosomes","Male","24","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysophtharta_nobilitata"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Chrysophtharta","variicollis","Asynaptic Sex Chromosomes","Male","24","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Chrysophtharta_variicollis"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Clytra","laeviuscula","Asynaptic Sex Chromosomes","Male","24","Xyp","XY","Rozek, Lachowska, Petitpierre, and Holecova (2004)","Clytra_laeviuscula"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Colaspidema","barbarum","Asynaptic Sex Chromosomes","Male","28","Xyp","XY","Petitpierre and Mikhailov (2013)","Colaspidema_barbarum"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Colaspis","greyi","Asynaptic Sex Chromosomes","Male","22","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Colaspis_greyi"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Colasposoma","auripenne","Asynaptic Sex Chromosomes","Male","16","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Colasposoma_auripenne"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Colasposoma","lividipes","Asynaptic Sex Chromosomes","Male","16","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Colasposoma_lividipes"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Colasposoma","metallicum","Asynaptic Sex Chromosomes","Male","16","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Colasposoma_metallicum"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Colasposoma","ortum","Asynaptic Sex Chromosomes","Male","16","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Colasposoma_ortum"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Colasposoma","rufipes","Asynaptic Sex Chromosomes","Male","16","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Colasposoma_rufipes"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Colasposoma","semicostatum","Asynaptic Sex Chromosomes","Male","16","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Colasposoma_semicostatum"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Colasposoma","sp.","Asynaptic Sex Chromosomes","Male","16","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Colasposoma_sp."
"Animalia","Insecta","Coleoptera","Chrysomelidae","Conchyloctenia","nigrovittata","Asynaptic Sex Chromosomes","Male","18","Xyp","XY","De Julio, Ferndes, Costa, Almeida, and Cella (2010)","Conchyloctenia_nigrovittata"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Conicobruchus","indicus","Asynaptic Sex Chromosomes","Male","20","Xyp","XY","S. Smith and Virkki (1978)","Conicobruchus_indicus"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Coptocephala","unifasciata","Asynaptic Sex Chromosomes","Male","24","Xyp","XY","Rozek, Lachowska, Petitpierre, and Holecova (2004)","Coptocephala_unifasciata"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Coptocycla","adamantina","Asynaptic Sex Chromosomes","Male","18","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Coptocycla_adamantina"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Coraia","clarki","Asynaptic Sex Chromosomes","Male","36","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Coraia_clarki"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Coraia","maculicollis","Asynaptic Sex Chromosomes","Male","36","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Coraia_maculicollis"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cosmogramma","decora","Asynaptic Sex Chromosomes","Male","20","Xyp","XY","Vidal (1984)","Cosmogramma_decora"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Craspedonta","leaya","Asynaptic Sex Chromosomes","Male","18","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Craspedonta_leaya"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Crepidedera","aurea","Asynaptic Sex Chromosomes","Male","18","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Crepidedera_aurea"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Crepidedera","plutus","Asynaptic Sex Chromosomes","Male","26","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Crepidedera_plutus"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Crioceris","asparagi","Asynaptic Sex Chromosomes","Male","16","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Crioceris_asparagi"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Crioceris","duodecimpunctata","Asynaptic Sex Chromosomes","Male","16","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Crioceris_duodecimpunctata"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Crioceris","macilenta","Asynaptic Sex Chromosomes","Male","16","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Crioceris_macilenta"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Crioceris","paracenthesis","Asynaptic Sex Chromosomes","Male","16","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Crioceris_paracenthesis"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Crosita","altaica","Asynaptic Sex Chromosomes","Male","30","Xyp","XY","Petitpierre and Mikhailov (2013)","Crosita_altaica"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Crosita","rugulosa","Asynaptic Sex Chromosomes","Male","30","Xyp","XY","Petitpierre and Mikhailov (2013)","Crosita_rugulosa"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Crosita","salviae","Asynaptic Sex Chromosomes","Male","24","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Crosita_salviae"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","alis","Asynaptic Sex Chromosomes","Male","30","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cryptocephalus_alis"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","aureolus","Asynaptic Sex Chromosomes","Male","30","Xyr","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cryptocephalus_aureolus"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","bipunctatus","Asynaptic Sex Chromosomes","Male","30","Xyr","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cryptocephalus_bipunctatus"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","capucinus","Asynaptic Sex Chromosomes","Male","30","Xyr","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cryptocephalus_capucinus"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","crassus","Asynaptic Sex Chromosomes","Male","32","Xyr","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cryptocephalus_crassus"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","espanoli","Asynaptic Sex Chromosomes","Male","30","Xyr","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cryptocephalus_espanoli"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","globicollis","Asynaptic Sex Chromosomes","Male","30","Xyr","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cryptocephalus_globicollis"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","hypochoeridis","Asynaptic Sex Chromosomes","Male","30","Xyr","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cryptocephalus_hypochoeridis"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","moraei","Asynaptic Sex Chromosomes","Male","30","Xyr","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cryptocephalus_moraei"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","ocellatus","Asynaptic Sex Chromosomes","Male","30","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cryptocephalus_ocellatus"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","ochroleucus","Asynaptic Sex Chromosomes","Male","30","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cryptocephalus_ochroleucus"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","octopilosus","Asynaptic Sex Chromosomes","Male","32","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cryptocephalus_octopilosus"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","oppositus","Asynaptic Sex Chromosomes","Male","30","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cryptocephalus_oppositus"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","primarius","Asynaptic Sex Chromosomes","Male","40","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cryptocephalus_primarius"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","quadruplex","Asynaptic Sex Chromosomes","Male","24","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cryptocephalus_quadruplex"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","rugicollis","Asynaptic Sex Chromosomes","Male","30","Xyr","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cryptocephalus_rugicollis"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","sexmaculatus","Asynaptic Sex Chromosomes","Male","28","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cryptocephalus_sexmaculatus"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","sexpunctatus","Asynaptic Sex Chromosomes","Male","16","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cryptocephalus_sexpunctatus"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","sexpustulatus","Asynaptic Sex Chromosomes","Male","30","Xyr","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cryptocephalus_sexpustulatus"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","sp.","Asynaptic Sex Chromosomes","Male","30","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cryptocephalus_sp."
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","sulphureus","Asynaptic Sex Chromosomes","Male","32","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cryptocephalus_sulphureus"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","triangularis","Asynaptic Sex Chromosomes","Male","32","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cryptocephalus_triangularis"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","violaceus","Asynaptic Sex Chromosomes","Male","30","Xyr","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cryptocephalus_violaceus"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","vittula","Asynaptic Sex Chromosomes","Male","28","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cryptocephalus_vittula"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cteisella","confusa","Asynaptic Sex Chromosomes","Male","18","Xyp","XY","De Julio, Ferndes, Costa, Almeida, and Cella (2010)","Cteisella_confusa"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cyrtonus","arcasi","Asynaptic Sex Chromosomes","Male","40","Xyp","XY","Petitpierre and Garneria (2003)","Cyrtonus_arcasi"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cyrtonus","contractus","Asynaptic Sex Chromosomes","Male","28","Xyp","XY","Petitpierre and Garneria (2003)","Cyrtonus_contractus"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cyrtonus","cupreovirens","Asynaptic Sex Chromosomes","Male","28","Xyp","XY","Petitpierre and Garneria (2003)","Cyrtonus_cupreovirens"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cyrtonus","cylindricus","Asynaptic Sex Chromosomes","Male","28","Xyp","XY","Petitpierre and Garneria (2003)","Cyrtonus_cylindricus"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cyrtonus","dufouri","Asynaptic Sex Chromosomes","Male","28","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cyrtonus_dufouri"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cyrtonus","elegans","Asynaptic Sex Chromosomes","Male","28","Xyp","XY","Petitpierre and Garneria (2003)","Cyrtonus_elegans"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cyrtonus","fairmarei","Asynaptic Sex Chromosomes","Male","40","Xyp","XY","Petitpierre and Garneria (2003)","Cyrtonus_fairmarei"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cyrtonus","majoricensis","Asynaptic Sex Chromosomes","Male","28","Xyp","XY","Petitpierre and Garneria (2003)","Cyrtonus_majoricensis"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cyrtonus","pardoi","Asynaptic Sex Chromosomes","Male","46","Xyp","XY","Petitpierre and Garneria (2003)","Cyrtonus_pardoi"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cyrtonus","plumbeus","Asynaptic Sex Chromosomes","Male","28","Xyp","XY","Petitpierre and Garneria (2003)","Cyrtonus_plumbeus"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cyrtonus","puncticeps","Asynaptic Sex Chromosomes","Male","40","Xyp","XY","Petitpierre and Garneria (2003)","Cyrtonus_puncticeps"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cyrtonus","punctipennis","Asynaptic Sex Chromosomes","Male","28","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Cyrtonus_punctipennis"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cyrtonus","rotundatus","Asynaptic Sex Chromosomes","Male","28","Xyp","XY","Petitpierre and Garneria (2003)","Cyrtonus_rotundatus"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cyrtonus","ruficornis","Asynaptic Sex Chromosomes","Male","28","Xyp","XY","Petitpierre and Garneria (2003)","Cyrtonus_ruficornis"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Cyrtonus","sp.","Asynaptic Sex Chromosomes","Male","28","Xyp","XY","Petitpierre and Garneria (2003)","Cyrtonus_sp."
"Animalia","Insecta","Coleoptera","Chrysomelidae","Dactylispa","atkinsoni","Asynaptic Sex Chromosomes","Male","16","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Dactylispa_atkinsoni"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Dactylispa","brevispinosa","Asynaptic Sex Chromosomes","Male","16","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Dactylispa_brevispinosa"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Dactylispa","humeralis","Asynaptic Sex Chromosomes","Male","16","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Dactylispa_humeralis"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Deloyala","cruciata","Asynaptic Sex Chromosomes","Male","18","Xyp","XY","De Julio, Ferndes, Costa, Almeida, and Cella (2010)","Deloyala_cruciata"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Deloyala","guttata","Asynaptic Sex Chromosomes","Male","18","Xyp","XY","De Julio, Ferndes, Costa, Almeida, and Cella (2010)","Deloyala_guttata"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Deloyala","guttata","Asynaptic Sex Chromosomes","Male","20","Xyp","XY","Virkki, Santiago-Blay, and Riley (1992)","Deloyala_guttata"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Desmogramma","nigripes","Asynaptic Sex Chromosomes","Male","24","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Desmogramma_nigripes"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Diapromorpha","quadripunctata","Asynaptic Sex Chromosomes","Male","22","Xy+","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Diapromorpha_quadripunctata"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Diapromorpha","quadripunctata","Asynaptic Sex Chromosomes","Male","22","Xyy+","Complex XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Diapromorpha_quadripunctata"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Diapromorpha","turcica","Asynaptic Sex Chromosomes","Male","22","Xy+","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Diapromorpha_turcica"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Diapromorpha","turcica","Asynaptic Sex Chromosomes","Male","22","Xyy+","Complex XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Diapromorpha_turcica"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Dibolia","timida","Asynaptic Sex Chromosomes","Male","40","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Dibolia_timida"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Dicladispa","occator","Asynaptic Sex Chromosomes","Male","16","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Dicladispa_occator"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Dicladispa","testacea","Asynaptic Sex Chromosomes","Male","16","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Dicladispa_testacea"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Diphaulaca","arguta","Asynaptic Sex Chromosomes","Male","30","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Diphaulaca_arguta"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Diphaulaca","sp.","Asynaptic Sex Chromosomes","Male","30","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Diphaulaca_sp."
"Animalia","Insecta","Coleoptera","Chrysomelidae","Disonycha","laevigata","Asynaptic Sex Chromosomes","Male","46","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Disonycha_laevigata"
"Animalia","Insecta","Coleoptera","Chrysomelidae","Donacia","andalusica","Asynaptic Sex Chromosomes","Male","30","Xyp","XY","Petitpierre, Segarra, Yadav, and Virkki (1988)","Donacia_andalusica"
