Kingdom,Class,Order,Suborder,Family,Genus,Species,Meiosis Type,Achiasmatic Sex,Diploid Number,Sex Chromosome System,Simplified SCS,Citation
Animalia,Insecta,Diptera,Brachycera,Agromyzidae,Amauromyza,flavifrons,Achiasmatic,Male,6,XY,XY,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Animalia,Insecta,Diptera,Brachycera,Agromyzidae,Amauromyza,verbasci,Achiasmatic,Male,6,XY,XY,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Animalia,Insecta,Diptera,Brachycera,Agromyzidae,Cerodontha,angulata,Achiasmatic,Male,6,XY,XY,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Animalia,Insecta,Diptera,Brachycera,Agromyzidae,Cerodontha,eucaricis,Achiasmatic,Male,12,XY,XY,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Animalia,Insecta,Diptera,Brachycera,Agromyzidae,Cerodontha,ireos,Achiasmatic,Male,12,XY,XY,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Animalia,Insecta,Diptera,Brachycera,Agromyzidae,Cerodontha,pseuderrans,Achiasmatic,Male,12,XY,XY,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Animalia,Insecta,Diptera,Brachycera,Agromyzidae,Cerodontha,scirpi,Achiasmatic,Male,12,XY,XY,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Animalia,Insecta,Diptera,Brachycera,Agromyzidae,Cerodontha,spinata,Achiasmatic,Male,12,XY,XY,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Animalia,Insecta,Diptera,Brachycera,Agromyzidae,Cerodontha,vignae,Achiasmatic,Male,12,XY,XY,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Animalia,Insecta,Diptera,Brachycera,Agromyzidae,Melanagromyza,obtusa,Achiasmatic,Male,12,XY,XY,Singh and Gupta 1982. Contribution to the cytogenetics of an Indian pest. I. Karyotype and Salivary Chromosomes of Melanagromyza obtusa Malloch (Diptera: Agromyzidae)
Animalia,Insecta,Diptera,Brachycera,Agromyzidae,Phytomyza,abdominalis,Achiasmatic,Male,10,not reported,,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Animalia,Insecta,Diptera,Brachycera,Agromyzidae,Phytomyza,crassiseta,Achiasmatic,Male,12,XY,XY,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
