Kingdom,Class,Order,Suborder,Family,Genus,Species,Meiosis Type,Achiasmatic Sex,Diploid Number,Sex Chromosome System,Simplified SCS,Citation
Animalia,Insecta,Diptera,Brachycera,Agromyzidae,Phytomyza,crassiseta,Achiasmatic,Male,18,not reported,,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Animalia,Insecta,Diptera,Brachycera,Agromyzidae,Phytomyza,ilicis,Achiasmatic,Male,12,XY,XY,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Animalia,Insecta,Diptera,Brachycera,Agromyzidae,Phytomyza,primulae,Achiasmatic,Male,12,XY,XY,"Block, K. (1977). Chromosomal variation in Agromyzidae (Diptera). Hereditas 84(2): 177-210."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Achaetella,varipes,Achiasmatic,Male,12,XY,XY,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Cordilura,ciliata,Achiasmatic,Male,12,XY,XY,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Cordilura,ontario,Achiasmatic,Male,12,XY,XY,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Fucellia,marina,Achiasmatic,Male,12,XY,XY,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Homalomya,sp,Achiasmatic,Male,12,XY,XY,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Hydrophoria,conica,Achiasmatic,Male,12,XY,XY,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Hylemya,antiqua,Achiasmatic,Male,12,XY,XY,"Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63.; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Hylemya,brassicae,Achiasmatic,Male,12,XY,XY,"Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63.; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Hylemya,cana,Achiasmatic,Male,12,XY,XY,"Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63.; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Hylemya,cilicrura,Achiasmatic,Male,12,XY,XY,"Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63.; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Hylemya,crucifera,Achiasmatic,Male,12,XY,XY,"Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63.; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Hylemya,echinata,Achiasmatic,Male,12,XY,XY,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Hylemya,floralis,Achiasmatic,Male,12,XY,XY,"Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63.; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Hylemya,florilegea,Achiasmatic,Male,12,XY,XY,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Hylemya,fugax,Achiasmatic,Male,14,Complex XY,Complex XY,"Boyes, J. (1952). A Multiple Sex-Chromosome Mechanism in a Root Maggot, Hylemya Fugax. Journal of Heredity 43(5): 195-200.; Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Hylemya,planipalpus,Achiasmatic,Male,12,XY,XY,"Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63.; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Hylemya,trichodactula,Achiasmatic,Male,12,XY,XY,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Ophyra,leucostoma,Achiasmatic,Male,12,XY,XY,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Orthochaeta,hirtipes,Achiasmatic,Male,12,XY,XY,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Pegomya,betae,Achiasmatic,Male,12,XY,XY,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Pegomya,bicolor,Achiasmatic,Male,12,XY,XY,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Pegomyia,geniculata,Achiasmatic,Male,12,XY,XY,"Boyes, J. (1954). Somatic Chromosomes of Higher Diptera: III. Interspecific and Intraspecific Variation in the Genus Hylemya. Canadian Journal of Zoology 32(2): 39-63.; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Phorbia,brassica,Achiasmatic,Male,12,XY,XY,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University.; Makino, S. (1951). An atlas of the chromosome numbers in Animals. Ames, Iowa, Iowa State College Press."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Scatophaga,pallida,Achiasmatic,Male,12,XY,XY,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Scatophaga,stercoraria,Achiasmatic,Male,12,XY,XY,"Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Animalia,Insecta,Diptera,Nematocera,Anisopodidae,Mycetobia,pallipes,Achiasmatic,Male,6,XY,XY,"Wolf, E. (1941). Die Chromosomen in der Spermatogenese einiger Nematoceren. Zeitschrift fr Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma 2(1): 192-246."
Animalia,Insecta,Diptera,Nematocera,Anisopodidae,Phryne,fenestralis,Achiasmatic,Male,8,XY,XY,"Wolf, E. (1941). Die Chromosomen in der Spermatogenese einiger Nematoceren. Zeitschrift fr Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma 2(1): 192-246."
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Fucellia,merina,,,12,XY,XY,
Animalia,Insecta,Diptera,Brachycera,Anthomyiidae,Hylemya,trichodactyla,,,12,XY,XY,
Animalia,Insecta,Diptera,Brachycera,Asilidae,Asilus,lecythus,Achiasmatic,Male,14,XY,XY,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Animalia,Insecta,Diptera,Brachycera,Asilidae,Asilus,notatus,Achiasmatic,Male,14,XY,XY,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Animalia,Insecta,Diptera,Brachycera,Asilidae,Asilus,sericeus,Achiasmatic,Male,10,XY,XY,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Animalia,Insecta,Diptera,Brachycera,Asilidae,Dasyllis,grossa,Achiasmatic,Male,10,XO,XO,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Animalia,Insecta,Diptera,Brachycera,Asilidae,Dasyllis,thoracica,Achiasmatic,Male,10,XY,XY,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Animalia,Insecta,Diptera,Brachycera,Asilidae,Deromyia,winthemi,Achiasmatic,Male,12,XY,XY,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Animalia,Insecta,Diptera,Brachycera,Asilidae,Erax,rufibarbis,Achiasmatic,Male,10,XY,XY,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Animalia,Insecta,Diptera,Brachycera,Asilidae,Leptogaster,badius,Achiasmatic,Male,10,XY,XY,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279.; Makino, S. (1951). An atlas of the chromosome numbers in Animals. Ames, Iowa, Iowa State College Press."
Animalia,Insecta,Diptera,Nematocera,Bibionidae,Bibio,bortulanus,,,10,not reported,,
Animalia,Insecta,Diptera,Nematocera,Bibionidae,Bibio,hortulanus,Achiasmatic,Male,10,not reported,,"Wolf, E. (1941). Die Chromosomen in der Spermatogenese einiger Nematoceren. Zeitschrift fr Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma 2(1): 192-246."
Animalia,Insecta,Diptera,Nematocera,Bibionidae,Penthetria,holosericea,Achiasmatic,Male,10,XY,XY,"Wolf, E. (1941). Die Chromosomen in der Spermatogenese einiger Nematoceren. Zeitschrift fr Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma 2(1): 192-246."
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Acrophthalmyda,paulseni,Achiasmatic,Male,12,not reported,,"Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera); Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Anthrax,anthrax,Achiasmatic,Male,16,not reported,,"Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera); Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Anthrax,cordillerensis,Achiasmatic,Male,12,XY,XY,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Anthrax,lateralis,Achiasmatic,Male,12,not reported,,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Anthrax,mystaceus,Achiasmatic,Male,14,not reported,,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Anthrax,oedipus,Achiasmatic,Male,18,XY,XY,"Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Anthrax,sinuosa,Achiasmatic,Male,18,XY,XY,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Anthrax,tigrinus,Achiasmatic,Male,12,not reported,,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Anthrax,yamashiroensis,Achiasmatic,Male,10,XY,XY,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Bombylius,fulvescens,Achiasmatic,Male,12,not reported,,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Bombylius,pygmaeus,Achiasmatic,Male,12,XY,XY,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Exoprosopa,atrinasis,Achiasmatic,Male,18,XY,XY,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Exoprosopa,sp.,Achiasmatic,Male,14,XY,XY,"Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Exoprosopa,sp.Punctulatagroup,Achiasmatic,Male,14,not reported,,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Ligyra,cerberus,Achiasmatic,Male,18,XY,XY,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Ligyra,proserpina,Achiasmatic,Male,18,XY,XY,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Neodiplocampta,roederi,Achiasmatic,Male,18,XY,XY,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Spogostylum,simson,Achiasmatic,Male,12,not reported,,"Metz, C. W. (1916). Chromosome Studies on the Diptera. II. The Paired Association of Chromosomes in the Diptera, and its Significance. Journal of Experimental Zoology 21(2): 213-279."
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Systoechus,vulgaris,Achiasmatic,Male,14,XY,XY,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Thyridanthrax,abrupta,Achiasmatic,Male,16,not reported,,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Thyridanthrax,niveifrons,Achiasmatic,Male,18,XY,XY,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Thyridanthrax,sp,Achiasmatic,Male,18,XY,XY,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Toxophora,javana,Achiasmatic,Male,8,XY,XY,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Usia,florea,Achiasmatic,Male,10,XY,XY,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Villa,cingulum,Achiasmatic,Male,16,not reported,,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Villa,gayi,Achiasmatic,Male,18,XY,XY,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Villa,gorgon,Achiasmatic,Male,14,XY,XY,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Villa,lateralis,Achiasmatic,Male,12,XY,XY,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Villa,morio,Achiasmatic,Male,18,XY,XY,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Villa,scylla,Achiasmatic,Male,10,XY,XY,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Villa,sinuosa,Achiasmatic,Male,18,XY,XY,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Villa,sp,Achiasmatic,Male,18,XY,XY,"Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Villa,sp.1,Achiasmatic,Male,14,XY,XY,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Villa,sp.2,Achiasmatic,Male,14,not reported,,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Villa,sp.3,Achiasmatic,Male,18,not reported,,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Villa,sp.Lateralisgroup,Achiasmatic,Male,14,XY,XY,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Villa,sp.nr.Blanchardiana,Achiasmatic,Male,12,XY,XY,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Villa,sp.nr.gorgon,Achiasmatic,Male,18,XY,XY,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Villa,spB,Achiasmatic,Male,12,XY,XY,"Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Villa,spC,Achiasmatic,Male,14,XY,XY,"Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Villa,velutina,Achiasmatic,Male,18,XY,XY,Boyes 1973. Cytotaxonomy of Bombyliidae (Diptera)
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Villa,velutinaI,Achiasmatic,Male,18,XY,XY,"Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
Animalia,Insecta,Diptera,Brachycera,Bombyliidae,Villa,velutinaII,Achiasmatic,Male,18,XY,XY,"Boyes, J. and G. Shewell (1973). Cytotaxonomy of Bombyliidae (Diptera). Canadian Journal of Genetics and Cytology 15(1): 21-37."
Animalia,Insecta,Diptera,Brachycera,Calliphoridae,Albuquerquea,latifrons,Achiasmatic,Male,12,XY,XY,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Animalia,Insecta,Diptera,Brachycera,Calliphoridae,Amenia,chrysame,Achiasmatic,Male,12,XY,XY,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Animalia,Insecta,Diptera,Brachycera,Calliphoridae,Anthracomyza,atratula,Achiasmatic,Male,12,XY,XY,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Animalia,Insecta,Diptera,Brachycera,Calliphoridae,Bengalia,inermis,Achiasmatic,Male,12,XY,XY,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Animalia,Insecta,Diptera,Brachycera,Calliphoridae,Bengalia,lyneborgi,Achiasmatic,Male,12,XY,XY,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Animalia,Insecta,Diptera,Brachycera,Calliphoridae,Blepharicnema,splendens,Achiasmatic,Male,12,XY,XY,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Animalia,Insecta,Diptera,Brachycera,Calliphoridae,Boreellus,atriceps,Achiasmatic,Male,12,XY,XY,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Animalia,Insecta,Diptera,Brachycera,Calliphoridae,Bufolucilia,silvarum,Achiasmatic,Male,12,XY,XY,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Animalia,Insecta,Diptera,Brachycera,Calliphoridae,Calliphora,accepta,Achiasmatic,Male,12,XY,XY,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Animalia,Insecta,Diptera,Brachycera,Calliphoridae,Calliphora,bomitoria,Achiasmatic,Male,12,XY,XY,"Makino, S. (1951). An atlas of the chromosome numbers in Animals. Ames, Iowa, Iowa State College Press."
Animalia,Insecta,Diptera,Brachycera,Calliphoridae,Calliphora,croceipalpisI,Achiasmatic,Male,12,XY,XY,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Animalia,Insecta,Diptera,Brachycera,Calliphoridae,Calliphora,croceipalpisII,Achiasmatic,Male,12,XY,XY,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Animalia,Insecta,Diptera,Brachycera,Calliphoridae,Calliphora,erythrocephala,Achiasmatic,Male,12,XY,XY,"Boyes and van Brink 1965. Chromosomes of Calyptrate Diptera; Jan, K. (1967). Cytotaxonomical Studies of Some Schizophorous Diptera. Master of Science, McGill University."
Animalia,Insecta,Diptera,Brachycera,Calliphoridae,Calliphora,fallax,Achiasmatic,Male,12,XY,XY,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Animalia,Insecta,Diptera,Brachycera,Calliphoridae,Calliphora,fulviceps,Achiasmatic,Male,12,XY,XY,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Animalia,Insecta,Diptera,Brachycera,Calliphoridae,Calliphora,fulvicoxa,Achiasmatic,Male,12,XY,XY,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Animalia,Insecta,Diptera,Brachycera,Calliphoridae,Calliphora,hilli,Achiasmatic,Male,12,XY,XY,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Animalia,Insecta,Diptera,Brachycera,Calliphoridae,Calliphora,lilaea,Achiasmatic,Male,12,XY,XY,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
Animalia,Insecta,Diptera,Brachycera,Calliphoridae,Calliphora,peruviana,Achiasmatic,Male,12,XY,XY,"Boyes, J. and G. Shewell (1975). Cytotaxonomy of Calliphoridae (Diptera). Genetica 45(4): 435-488."
