Kingdom,Class,Subclass,Order,Family,Genus,Species,Meiosis Type,Achiasmatic Sex,Diploid Number,Sex Chromosome System,Simplified Sex Chromosome System,Citation
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Dendrolagus,goodfellowi,Asynaptic,Male,14,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Dorcopsis,muelleri,Asynaptic,Male,22,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Dorcopsulus,vanheurni,Asynaptic,Male,18,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Lagorchestes,conspicillata,Asynaptic,Male,16,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Lagorchestes,hirsutus,Asynaptic,Male,20,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Lagostrphus,fasciatus,Asynaptic,Male,32,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Macropus,agilis,Asynaptic,Male,16,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Macropus,antilopinus,Asynaptic,Male,16,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Macropus,bicolor,Asynaptic,Male,10,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Macropus,eugenii,Asynaptic,Male,16,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Macropus,fuliginosus,Asynaptic,Male,16,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Macropus,giganteus,Asynaptic,Male,16,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Macropus,irma,Asynaptic,Male,16,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Macropus,parma,Asynaptic,Male,16,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Macropus,parryi,Asynaptic,Male,16,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Macropus,robustus,Asynaptic,Male,16,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Macropus,rufogriseus,Asynaptic,Male,16,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Macropus,rufus,Asynaptic,Male,20,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Onychogalea,fraenata,Asynaptic,Male,18,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Onychogalea,unguifera,Asynaptic,Male,20,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Peradorcas,concinna,Asynaptic,Male,16,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Petrogale,lateralis,Asynaptic,Male,22,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Petrogale,xanthopus,Asynaptic,Male,22,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Setonix,brachyurus,Asynaptic,Male,22,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Thylogale,brunii,Asynaptic,Male,22,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Thylogale,stigmatica,Asynaptic,Male,22,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Wallabia,eugenii,Asynaptic,Male,16,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Diprotodontia,Petauridae,Gymnobelideus,leadbeateri,Asynaptic,Male,22,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Petauridae,Petarurus,breviceps,Asynaptic,Male,22,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Petauridae,Petarurus,norfolcensis,Asynaptic,Male,22,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Phalangeridae,Ailurops,ursinus,Asynaptic,Male,,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Phalangeridae,Phalanger,gymnotis,Asynaptic,Male,14,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Phalangeridae,Phalanger,orientalis,Asynaptic,Male,14,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Phalangeridae,Spilocuscus,maculatus,Asynaptic,Male,,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Phalangeridae,Spilocuscus,rufoniger,Asynaptic,Male,,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Phalangeridae,Strigocuscus,celebensis,Asynaptic,Male,,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Phalangeridae,Strigocuscus,pelengensis,Asynaptic,Male,,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Phalangeridae,Trichosurus,caninus,Asynaptic,Male,20,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Phalangeridae,Trichosurus,johnstonii,Asynaptic,Male,20,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Phalangeridae,Wyulda,squamicaudata,Asynaptic,Male,,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Phascolarctidae,Phascolarctos,cinereus,Asynaptic,Male,16,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Potoroidae,Aepyprymnus,rufescens,Asynaptic,Male,32,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Potoroidae,Bettongia,gaimardi,Asynaptic,Male,22,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Potoroidae,Bettongia,penicillata,Asynaptic,Male,22,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Potoroidae,Potorous,longipes,Asynaptic,Male,32,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Potoroidae,Potorous,tridactylus,Asynaptic,Male,12,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Pseudocheiridae,Hemibelideus,lemuroides,Asynaptic,Male,20,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Pseudocheiridae,Petauroides,volans,Asynaptic,Male,22,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
