Kingdom,Class,Subclass,Order,Family,Genus,Species,Meiosis Type,Achiasmatic Sex,Diploid Number,Sex Chromosome System,Simplified Sex Chromosome System,Citation
Animalia,Mammalia,Metatheria,Dasyuromorphia,Dasyuridae,Antechinomys,laniger,Asynaptic,Male,14,XY,XY,"evobir.shinyapps.io/mammals/ Valero-Regalón FJ, Solé M, López-Jiménez P, Valerio-de Arana M, Martín-Ruiz M, de la Fuente R, Marín-Gual L, Renfree MB, Shaw G, Berríos S, Fernández-Donoso R, Waters PD, Ruiz-Herrera A, Gómez R, Page J. Divergent patterns of meiotic double strand breaks and synapsis initiation dynamics suggest an evolutionary shift in the meiosis program between American and Australian marsupials. Front Cell Dev Biol. 2023 Apr 25;11:1147610. doi: 10.3389/fcell.2023.1147610. PMID: 37181752; PMCID: PMC10166821."
Animalia,Mammalia,Metatheria,Dasyuromorphia,Dasyuridae,Antechinus,flavipes,Asynaptic,Male,14,XY,XY,"evobir.shinyapps.io/mammals/ (Valero-Regalón FJ, Solé M, López-Jiménez P, Valerio-de Arana M, Martín-Ruiz M, de la Fuente R, Marín-Gual L, Renfree MB, Shaw G, Berríos S, Fernández-Donoso R, Waters PD, Ruiz-Herrera A, Gómez R, Page J. Divergent patterns of meiotic double strand breaks and synapsis initiation dynamics suggest an evolutionary shift in the meiosis program between American and Australian marsupials. Front Cell Dev Biol. 2023 Apr 25;11:1147610. doi: 10.3389/fcell.2023.1147610. PMID: 37181752; PMCID: PMC10166821.)"
Animalia,Mammalia,Metatheria,Dasyuromorphia,Dasyuridae,Dasyuroides,byrnei,Asynaptic,Male,14,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Dasyuromorphia,Dasyuridae,Dasyurops,maculatus,Asynaptic,Male,14,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Dasyuromorphia,Dasyuridae,Dasyurus,albopunctatus,Asynaptic,Male,14,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Dasyuromorphia,Dasyuridae,Dasyurus,hallucatus,Asynaptic,Male,14,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Dasyuromorphia,Dasyuridae,Dasyurus,maculatus,Asynaptic,Male,14,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Dasyuromorphia,Dasyuridae,Dasyurus,viverrinus,Asynaptic,Male,14,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Dasyuromorphia,Dasyuridae,Ningaui,sp.,Asynaptic,Male,14,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Dasyuromorphia,Dasyuridae,Phascogale,tapoatafa,Asynaptic,Male,14,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Dasyuromorphia,Dasyuridae,Phascolosorex,dorsalis,Asynaptic,Male,14,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Dasyuromorphia,Dasyuridae,Planigale,maculata,Asynaptic,Male,14,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Dasyuromorphia,Dasyuridae,Sarcophilus,harrisii,Asynaptic,Male,14,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Dasyuromorphia,Dasyuridae,Sminthopsis,crassicaudata,Asynaptic,Male,14,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Dasyuromorphia,Myrmecobiidae,Myrmecobius,fasciatus,Asynaptic,Male,14,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Didelphimorphia,Didelphidae,Caluromys,derbianus,Asynaptic,Male,14,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Didelphimorphia,Didelphidae,Caluromys,lanatus,Asynaptic,Male,14,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Didelphimorphia,Didelphidae,Chironectes,panamensis,Asynaptic,Male,22,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Didelphimorphia,Didelphidae,Didelphis,marsupialis,Asynaptic,Male,22,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Didelphimorphia,Didelphidae,Didelphis,virginiana,Asynaptic,Male,22,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Didelphimorphia,Didelphidae,Didelphys,albiventris,Asynaptic,Male,22,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Didelphimorphia,Didelphidae,Lutreolina,crassicaudata,Asynaptic,Male,22,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Didelphimorphia,Didelphidae,Marmosa,alstoni,Asynaptic,Male,14,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Didelphimorphia,Didelphidae,Marmosa,murina,Asynaptic,Male,14,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Didelphimorphia,Didelphidae,Marmosa,pusilla,Asynaptic,Male,14,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Didelphimorphia,Didelphidae,Marmosa,robinsoni,Asynaptic,Male,14,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Didelphimorphia,Didelphidae,Marmosa,sp.,Asynaptic,Male,14,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Didelphimorphia,Didelphidae,Marmosops,incanus,Asynaptic,Male,14,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Didelphimorphia,Didelphidae,Metachirus,nudicaudatus,Asynaptic,Male,14,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Didelphimorphia,Didelphidae,Micoureus,demerarae,Asynaptic,Male,14,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Didelphimorphia,Didelphidae,Monodelphis,brevicaudata,Asynaptic,Male,18,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Didelphimorphia,Didelphidae,Monodelphis,domestica,Asynaptic,Male,,XY,XY,"Merry, D.E., Pathak, S. and VandeBerg, J.L., 1983. Differential NOR activities in somatic and germ cells of Monodelphis domestica (Marsupialia, Mammalia). Cytogenetic and Genome Research, 35(4), pp.244-251."
Animalia,Mammalia,Metatheria,Didelphimorphia,Didelphidae,Monodelphis,domestica,Asynaptic,Male,18,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Didelphimorphia,Didelphidae,Philander,opossum,Asynaptic,Male,22,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Didelphimorphia,Didelphidae,Thylamys,elegans,Asynaptic,Male,14,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Didelphimorphia,Didelphidae,Thylamys ,elegans,Achiasmatic,Male,,XY,XY,"Domingo, D.O., 2012. Centromere behavior in Saccharomyces cerevisiae meiotic prophase. The University of Oklahoma Health Sciences Center."
Animalia,Mammalia,Metatheria,Diprodontia,Acrobatidae,Acrobates,pygmaeus,Asynaptic,Male,14,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Diprodontia,Burramyidae,Cercartetus,concinnus,Asynaptic,Male,14,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Diprodontia,Macropodidae,Macropus,eugenii,Asynaptic,Male,16,XY,XY,evobir.shinyapps.io/mammals/
Animalia,Mammalia,Metatheria,Diprodontia,Macropodidae,Petrogale,brachyotis,Asynaptic,,20,XY,XY,
Animalia,Mammalia,Metatheria,Diprodontia,Macropodidae,Petrogale,concinna,Asynaptic,,16,XY,XY,
Animalia,Mammalia,Metatheria,Diprodontia,Macropodidae,Petrogale,lateralis lateralis,Asynaptic,,22,XY,XY,
Animalia,Mammalia,Metatheria,Diprodontia,Macropodidae,Petrogale,penicillata,Asynaptic,,22,XY,XY,
Animalia,Mammalia,Metatheria,Diprodontia,Macropodidae,Petrogale,xanthopus celeris,Asynaptic,,22,XY,XY,
Animalia,Mammalia,Metatheria,Diprodontia,Macropodidae,Petrogale,xanthopus xanthopus,Asynaptic,,22,XY,XY,
Animalia,Mammalia,Metatheria,Diprodontia,Macropodidae,Thylogale,billardierii,Asynaptic,,22,XY,XY,
Animalia,Mammalia,Metatheria,Diprodontia,Macropodidae,Thylogale,thetis,Asynaptic,,22,XY,XY,
Animalia,Mammalia,Metatheria,Diprodontia,Macropodidae,Wallabia,bicolor,Asynaptic,,10,complex XY,Complex XY,
Animalia,Mammalia,Metatheria,Diprodontia,Petauridae,Petaurus,norfolcensis,Asynaptic,,21,XY,XY,
Animalia,Mammalia,Metatheria,Diprodontia,Phalangeridae,Trichosurus,vulpecula,Asynaptic,,20,XY,XY,
Animalia,Mammalia,Metatheria,Diprodontia,Pseudocheiridae,Petropseudes,dahli,Asynaptic,,16,XY,XY,
Animalia,Mammalia,Metatheria,Diprodontia,Pseudocheiridae,Pseudocheirus,peregrinus cookii,Asynaptic,,20,XY,XY,
Animalia,Mammalia,Metatheria,Diprodontia,Pseudocheiridae,Pseudocheirus,peregrinus puicher,Asynaptic,,20,XY,XY,
Animalia,Mammalia,Metatheria,Diprodontia,Pseudocheiridae,Pseudocheirus,peregrinus rubidus,Asynaptic,,20,XY,XY,
Animalia,Mammalia,Metatheria,Diprodontia,Tarsipedidae,Tarsipes,rostratus,Asynaptic,,24,XY,XY,
Animalia,Mammalia,Metatheria,Diprotodontia,Acrobatidae,Acrobates,pygmaeus,Asynaptic,Male,14,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Acrobatidae,Dactylopsila,palpator,Asynaptic,Male,18,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Acrobatidae,Dactylopsila,trivirgata,Asynaptic,Male,18,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Acrobatidae,Distoechurus,pennatus,Asynaptic,Male,14,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Burramyidae,Burramys,parvus,Asynaptic,Male,14,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Burramyidae,Cercartetus,concinnus,Asynaptic,Male,14,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Burramyidae,Cercartetus,lepidus,Asynaptic,Male,14,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Burramyidae,Cercartetus,nanus,Asynaptic,Male,14,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Hypsiprymnodontidae,Hypsiprymnodon,moschatus,Asynaptic,Male,22,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
Animalia,Mammalia,Metatheria,Diprotodontia,Macropodidae,Dendrolagus,dorianus,Asynaptic,Male,12,XY,XY,"Westerman, M., Meredith, R.W. and Springer, M.S., 2010. Cytogenetics meets phylogenetics: a review of karyotype evolution in diprotodontian marsupials. Journal of Heredity, 101(6), pp.690-702."
